text,url
Saint Lucia,https://en.wikipedia.org/wiki/Saint_Lucia
Tourism,https://en.wikipedia.org/wiki/Tourism_in_Saint_Lucia
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
Agriculture,https://en.wikipedia.org/wiki/Agriculture
banana industry,https://en.wikipedia.org/wiki/Banana_industry
manufacturing industry,https://en.wikipedia.org/wiki/Manufacturing
Hurricane Dean,https://en.wikipedia.org/wiki/Hurricane_Dean
bananas,https://en.wikipedia.org/wiki/Banana
coconuts,https://en.wikipedia.org/wiki/Coconut
cocoa beans,https://en.wikipedia.org/wiki/Cocoa_bean
mangoes,https://en.wikipedia.org/wiki/Mango
avocados,https://en.wikipedia.org/wiki/Avocado
yams,https://en.wikipedia.org/wiki/Yam_(vegetable)
sweet potatoes,https://en.wikipedia.org/wiki/Sweet_potato
poultry,https://en.wikipedia.org/wiki/Poultry
pork,https://en.wikipedia.org/wiki/Pork
sheep,https://en.wikipedia.org/wiki/Sheep
goats,https://en.wikipedia.org/wiki/Goat
dairy,https://en.wikipedia.org/wiki/Dairy_farming
beef,https://en.wikipedia.org/wiki/Beef
cattle breeds,https://en.wikipedia.org/wiki/Cattle_breed
abattoirs,https://en.wikipedia.org/wiki/Slaughterhouse
transshipment,https://en.wikipedia.org/wiki/Transshipment
Hess Oil,https://en.wikipedia.org/wiki/Hess_Corporation
Caribbean Development Bank,https://en.wikipedia.org/wiki/Caribbean_Development_Bank
airport,https://en.wikipedia.org/wiki/Hewanorra_International_Airport
11 September 2001,https://en.wikipedia.org/wiki/September_11_attacks
European Union,https://en.wikipedia.org/wiki/European_Union
coconut oil,https://en.wikipedia.org/wiki/Coconut_oil
France,https://en.wikipedia.org/wiki/France
United States,https://en.wikipedia.org/wiki/United_States
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Brazil,https://en.wikipedia.org/wiki/Brazil
United States,https://en.wikipedia.org/wiki/United_States
Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Finland,https://en.wikipedia.org/wiki/Finland
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
France,https://en.wikipedia.org/wiki/France
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
