text,url
agriculture,https://en.wikipedia.org/wiki/Agriculture
arrowroot,https://en.wikipedia.org/wiki/Arrowroot
Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
European Union,https://en.wikipedia.org/wiki/European_Union
Tourism,https://en.wikipedia.org/wiki/Tourism
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Caribbean Basin Initiative,https://en.wikipedia.org/wiki/Caribbean_Basin_Initiative
Caribbean Community (CARICOM),https://en.wikipedia.org/wiki/Caribbean_Community
GDP (PPP),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
The World Factbook,https://en.wikipedia.org/wiki/The_World_Factbook
GDP (PPP) per capita,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)_per_capita
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
The World Factbook,https://en.wikipedia.org/wiki/The_World_Factbook
GDP (PPP) per person employed,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)_per_person_employed
World Bank,https://en.wikipedia.org/wiki/World_Bank
The World Factbook,https://en.wikipedia.org/wiki/The_World_Factbook
GDP (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
United Nations,https://en.wikipedia.org/wiki/United_Nations
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
The World Factbook,https://en.wikipedia.org/wiki/The_World_Factbook
GDP (nominal) per capita,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita
United Nations,https://en.wikipedia.org/wiki/United_Nations
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
The World Factbook,https://en.wikipedia.org/wiki/The_World_Factbook
Gross national income (Atlas method),https://en.wikipedia.org/wiki/Gross_national_income
World Bank,https://en.wikipedia.org/wiki/World_Bank
GNI per capita (Atlas method and PPP),https://en.wikipedia.org/wiki/List_of_countries_by_GNI_(PPP)_per_capita
World Bank,https://en.wikipedia.org/wiki/World_Bank
kWh,https://en.wikipedia.org/wiki/Watt_hour
Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
Minister of Finance of Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Minister_of_Finance_of_Saint_Vincent_and_the_Grenadines
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
