text,url
San Marino,https://en.wikipedia.org/wiki/San_Marino
banking,https://en.wikipedia.org/wiki/Bank
agricultural products,https://en.wikipedia.org/wiki/Agriculture
wine,https://en.wikipedia.org/wiki/Wine
cheeses,https://en.wikipedia.org/wiki/Cheese
postage stamps,https://en.wikipedia.org/wiki/Postage_stamp
philatelists,https://en.wikipedia.org/wiki/Philately
standard of living,https://en.wikipedia.org/wiki/Standard_of_living
Italy,https://en.wikipedia.org/wiki/Italy
global recession,https://en.wikipedia.org/wiki/Great_Recession
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
unemployment,https://en.wikipedia.org/wiki/Unemployment
banks' deposits,https://en.wikipedia.org/wiki/Bank_deposits
lender of last resort,https://en.wikipedia.org/wiki/Lender_of_last_resort
European Union,https://en.wikipedia.org/wiki/European_Union
Cassa di Risparmio,https://en.wikipedia.org/wiki/Cassa_di_Risparmio_della_Repubblica_di_San_Marino
Non-Performing Loans,https://en.wikipedia.org/wiki/Non-performing_loan
anonymous companies,https://en.wikipedia.org/wiki/S.A._(corporation)
banking secrecy,https://en.wikipedia.org/wiki/Bank_secrecy
Council of Europe,https://en.wikipedia.org/wiki/Council_of_Europe
European Union,https://en.wikipedia.org/wiki/European_Union
Ecofin,https://en.wikipedia.org/wiki/Economic_and_Financial_Affairs_Council
budget surplus,https://en.wikipedia.org/wiki/Government_budget
national debt,https://en.wikipedia.org/wiki/Government_debt
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Fitch,https://en.wikipedia.org/wiki/Fitch_Ratings
Italian unification,https://en.wikipedia.org/wiki/Italian_unification
Kingdom of Italy,https://en.wikipedia.org/wiki/Kingdom_of_Italy
Sammarinese lira,https://en.wikipedia.org/wiki/Sammarinese_lira
European Union,https://en.wikipedia.org/wiki/European_Union
Euro,https://en.wikipedia.org/wiki/Euro
Sammarinese Euro coins,https://en.wikipedia.org/wiki/Sammarinese_euro_coins
Italian Euro coins,https://en.wikipedia.org/wiki/Italian_euro_coins
stamps,https://en.wikipedia.org/wiki/Postage_stamps_and_postal_history_of_San_Marino
commemorative stamps,https://en.wikipedia.org/wiki/Commemorative_stamp
Post Offices,https://en.wikipedia.org/wiki/Post_office
sheep farming,https://en.wikipedia.org/wiki/Sheep_husbandry
stone quarrying,https://en.wikipedia.org/wiki/Quarry
grain,https://en.wikipedia.org/wiki/Grain
vines,https://en.wikipedia.org/wiki/Vine
orchards,https://en.wikipedia.org/wiki/Orchard
animal husbandry,https://en.wikipedia.org/wiki/Animal_husbandry
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
Eurostat,https://en.wikipedia.org/wiki/Eurostat
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
