text,url
Central Bank of West African States,https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States
Air Senegal International,https://en.wikipedia.org/wiki/Air_Senegal_International
Richard Toll,https://en.wikipedia.org/wiki/Richard_Toll
Saly,https://en.wikipedia.org/wiki/Saly
Touba,"https://en.wikipedia.org/wiki/Touba,_Senegal"
Mouride,https://en.wikipedia.org/wiki/Mouride
Rock phosphate,https://en.wikipedia.org/wiki/Rock_phosphate
surface mine,https://en.wikipedia.org/wiki/Surface_mining
fish,https://en.wikipedia.org/wiki/Commercial_fishing
phosphates,https://en.wikipedia.org/wiki/Rock_phosphate
groundnuts,https://en.wikipedia.org/wiki/Peanut
tourism,https://en.wikipedia.org/wiki/Tourist_industry
agricultural,https://en.wikipedia.org/wiki/Agriculture
Senegal,https://en.wikipedia.org/wiki/Senegal
and climate change,https://en.wikipedia.org/wiki/Climate_change_in_Senegal
commodity prices,https://en.wikipedia.org/wiki/Commodity_market
Dakar,https://en.wikipedia.org/wiki/Dakar
French West Africa,https://en.wikipedia.org/wiki/French_West_Africa
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
corruption,https://en.wikipedia.org/wiki/Corruption_in_Senegal
GDP per capita,https://en.wikipedia.org/wiki/GDP_per_capita
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
Senegal,https://en.wikipedia.org/wiki/Senegal
French franc,https://en.wikipedia.org/wiki/French_franc
GDP,https://en.wikipedia.org/wiki/GDP
inflation,https://en.wikipedia.org/wiki/Inflation
Highly Indebted Poor Countries,https://en.wikipedia.org/wiki/Highly_Indebted_Poor_Countries
fishing,https://en.wikipedia.org/wiki/Commercial_fishing
groundnut,https://en.wikipedia.org/wiki/Peanut
tuna,https://en.wikipedia.org/wiki/Tuna
Phosphate,https://en.wikipedia.org/wiki/Rock_phosphate
France,https://en.wikipedia.org/wiki/France
United States,https://en.wikipedia.org/wiki/United_States
Canada,https://en.wikipedia.org/wiki/Canada
Italy,https://en.wikipedia.org/wiki/Italy
Japan,https://en.wikipedia.org/wiki/Japan
Germany,https://en.wikipedia.org/wiki/Germany
telecommunications,https://en.wikipedia.org/wiki/Telecommunications
debt relief,https://en.wikipedia.org/wiki/Debt_relief
Heavily Indebted Poor Countries,https://en.wikipedia.org/wiki/Heavily_Indebted_Poor_Countries
good governance,https://en.wikipedia.org/wiki/Good_governance
National Confederation of Senegalese Workers,https://en.wikipedia.org/wiki/National_Confederation_of_Senegalese_Workers
Dakar Dem Dikk Workers Democratic Union,https://en.wikipedia.org/wiki/Dakar_Dem_Dikk_Workers_Democratic_Union
Democratic Union of Senegalese Workers,https://en.wikipedia.org/wiki/Democratic_Union_of_Senegalese_Workers
National Union of Autonomous Trade Unions of Senegal,https://en.wikipedia.org/wiki/National_Union_of_Autonomous_Trade_Unions_of_Senegal
man-hour,https://en.wikipedia.org/wiki/Man-hour
Bourse Régionale des Valeurs Mobilières SA,https://en.wikipedia.org/wiki/BRVM
stock exchange,https://en.wikipedia.org/wiki/Stock_exchange
"Abidjan, Cote d'Ivoire","https://en.wikipedia.org/wiki/Abidjan,_Cote_d%27Ivoire"
Organization of African Unity,https://en.wikipedia.org/wiki/Organization_of_African_Unity
Franc Zone,https://en.wikipedia.org/wiki/Franc_Zone
Lomé Convention,https://en.wikipedia.org/wiki/Lom%C3%A9_Convention
Economic Community of West African States,https://en.wikipedia.org/wiki/Economic_Community_of_West_African_States
Union économique et monétaire Ouest Africaine,https://en.wikipedia.org/wiki/West_African_Economic_and_Monetary_Union
African Groundnut Council,https://en.wikipedia.org/wiki/African_Groundnut_Council
Organisation pour la mise en valeur du fleuve Sénégal,https://en.wikipedia.org/wiki/Organisation_pour_la_mise_en_valeur_du_fleuve_S%C3%A9n%C3%A9gal
Gini index,https://en.wikipedia.org/wiki/Gini_index
Communaute Financiere Africaine franc,https://en.wikipedia.org/wiki/West_African_CFA_franc
Central Bank of West African States,https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Senegal,https://en.wikipedia.org/wiki/Senegal
Tourism in Senegal,https://en.wikipedia.org/wiki/Tourism_in_Senegal
Agriculture in Senegal,https://en.wikipedia.org/wiki/Agriculture_in_Senegal
Communications in Senegal,https://en.wikipedia.org/wiki/Communications_in_Senegal
Transport in Senegal,https://en.wikipedia.org/wiki/Transport_in_Senegal
Economy of Africa,https://en.wikipedia.org/wiki/Economy_of_Africa
CFA franc,https://en.wikipedia.org/wiki/CFA_franc
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
World Bank,https://en.wikipedia.org/wiki/World_Bank
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
CIA,https://en.wikipedia.org/wiki/CIA
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
The World Factbook,https://en.wikipedia.org/wiki/The_World_Factbook
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
Country Commercial Guide,https://en.wikipedia.org/wiki/Country_commercial_guides
United States government,https://en.wikipedia.org/wiki/United_States_government
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
American Journal of Agricultural Economics,https://en.wikipedia.org/wiki/American_Journal_of_Agricultural_Economics
