text,url
Banking,https://en.wikipedia.org/wiki/Banking_in_Serbia
Banks,https://en.wikipedia.org/wiki/List_of_banks_in_Serbia
Companies,https://en.wikipedia.org/wiki/List_of_companies_of_Serbia
Insurance,https://en.wikipedia.org/wiki/Insurance_in_Serbia
National Bank of Serbia,https://en.wikipedia.org/wiki/National_Bank_of_Serbia
Stock Exchange,https://en.wikipedia.org/wiki/Belgrade_Stock_Exchange
Agriculture,https://en.wikipedia.org/wiki/Agriculture_in_Serbia
Automotive industry,https://en.wikipedia.org/wiki/Automotive_industry_in_Serbia
Energy,https://en.wikipedia.org/wiki/Energy_in_Serbia
Telecommunications,https://en.wikipedia.org/wiki/Telecommunications_in_Serbia
Tourism,https://en.wikipedia.org/wiki/Tourism_in_Serbia
Transport,https://en.wikipedia.org/wiki/Transport_in_Serbia
Culture,https://en.wikipedia.org/wiki/Serbian_culture
Demographics,https://en.wikipedia.org/wiki/Demographics_of_Serbia
Education,https://en.wikipedia.org/wiki/Education_in_Serbia
Geography,https://en.wikipedia.org/wiki/Geography_of_Serbia
History,https://en.wikipedia.org/wiki/History_of_Serbia
Politics,https://en.wikipedia.org/wiki/Politics_of_Serbia
Religion,https://en.wikipedia.org/wiki/Religion_in_Serbia
developing,https://en.wikipedia.org/wiki/Developing_country
tertiary sector,https://en.wikipedia.org/wiki/Tertiary_sector_of_the_economy
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
purchasing power parity (PPP),https://en.wikipedia.org/wiki/Purchasing_power_parity
Belgrade,https://en.wikipedia.org/wiki/Belgrade
Novi Sad,https://en.wikipedia.org/wiki/Novi_Sad
Niš,https://en.wikipedia.org/wiki/Ni%C5%A1
Belgrade Waterfront,https://en.wikipedia.org/wiki/Belgrade_Waterfront
National Bank of Serbia,https://en.wikipedia.org/wiki/National_Bank_of_Serbia
Belgrade Stock Exchange,https://en.wikipedia.org/wiki/Belgrade_Stock_Exchange
automotive manufacturing,https://en.wikipedia.org/wiki/Automotive_industry
Central Europe,https://en.wikipedia.org/wiki/Central_Europe
Northwestern Europe,https://en.wikipedia.org/wiki/Northwestern_Europe
planned economy,https://en.wikipedia.org/wiki/Planned_economy
market economy,https://en.wikipedia.org/wiki/Market_economy
Eastern Bloc,https://en.wikipedia.org/wiki/Eastern_Bloc
Yugoslav Wars,https://en.wikipedia.org/wiki/Yugoslav_Wars
UN sanctions and trade embargo,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_757
brain drain,https://en.wikipedia.org/wiki/Brain_drain
Slobodan Milošević,https://en.wikipedia.org/wiki/Slobodan_Milo%C5%A1evi%C4%87
market-based economy,https://en.wikipedia.org/wiki/Market_economy
Great Recession,https://en.wikipedia.org/wiki/Great_Recession
accession negotiations,https://en.wikipedia.org/wiki/Accession_of_Serbia_to_the_European_Union
European Union,https://en.wikipedia.org/wiki/European_Union
purchasing power parity,https://en.wikipedia.org/wiki/Purchasing_power_parity
nominal GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
debt-to-GDP ratio,https://en.wikipedia.org/wiki/Debt-to-GDP_ratio
Maastricht criteria,https://en.wikipedia.org/wiki/Euro_convergence_criteria
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
foreign exchange reserves,https://en.wikipedia.org/wiki/Foreign_exchange_reserves
euros,https://en.wikipedia.org/wiki/Euro
currency,https://en.wikipedia.org/wiki/Currency
Serbian dinar,https://en.wikipedia.org/wiki/Serbian_dinar
hyperinflation,https://en.wikipedia.org/wiki/Hyperinflation
Fiat 500L,https://en.wikipedia.org/wiki/Fiat_500L
free trade agreement,https://en.wikipedia.org/wiki/Free_trade_agreement
European Union,https://en.wikipedia.org/wiki/European_Union
customs,https://en.wikipedia.org/wiki/Customs
CEFTA,https://en.wikipedia.org/wiki/CEFTA
Albania,https://en.wikipedia.org/wiki/Albania
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Moldova,https://en.wikipedia.org/wiki/Moldova
Montenegro,https://en.wikipedia.org/wiki/Montenegro
Kosovo,https://en.wikipedia.org/wiki/Republic_of_Kosovo
EFTA,https://en.wikipedia.org/wiki/EFTA
Fiat Chrysler Automobiles,https://en.wikipedia.org/wiki/Fiat_Chrysler_Automobiles
Bosch,https://en.wikipedia.org/wiki/Robert_Bosch_GmbH
Michelin,https://en.wikipedia.org/wiki/Michelin
Siemens,https://en.wikipedia.org/wiki/Siemens
Panasonic,https://en.wikipedia.org/wiki/Panasonic
Continental,https://en.wikipedia.org/wiki/Continental_AG
Schneider Electric,https://en.wikipedia.org/wiki/Schneider_Electric
Philip Morris,https://en.wikipedia.org/wiki/Philip_Morris_International
LafargeHolcim,https://en.wikipedia.org/wiki/LafargeHolcim
PepsiCo,https://en.wikipedia.org/wiki/PepsiCo
Coca-Cola,https://en.wikipedia.org/wiki/Coca-Cola
Carlsberg,https://en.wikipedia.org/wiki/Carlsberg_Group
Lukoil,https://en.wikipedia.org/wiki/Lukoil
Gazprom,https://en.wikipedia.org/wiki/Gazprom
Hesteel,https://en.wikipedia.org/wiki/Hesteel
Zijin Mining,https://en.wikipedia.org/wiki/Zijin_Mining
Intesa Sanpaolo,https://en.wikipedia.org/wiki/Intesa_Sanpaolo
UniCredit,https://en.wikipedia.org/wiki/UniCredit
Crédit Agricole,https://en.wikipedia.org/wiki/Cr%C3%A9dit_Agricole
Société Générale,https://en.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_G%C3%A9n%C3%A9rale
Erste Bank,https://en.wikipedia.org/wiki/Erste_Bank
Raiffeisen,https://en.wikipedia.org/wiki/Raiffeisen_Zentralbank
Microsoft,https://en.wikipedia.org/wiki/Microsoft
Telenor,https://en.wikipedia.org/wiki/Telenor
Telekom Austria,https://en.wikipedia.org/wiki/Telekom_Austria
NCR,https://en.wikipedia.org/wiki/NCR_Corporation
Ahold Delhaize,https://en.wikipedia.org/wiki/Ahold_Delhaize
Metro AG,https://en.wikipedia.org/wiki/Metro_AG
Schwarz Gruppe,https://en.wikipedia.org/wiki/Schwarz_Gruppe
Veropoulos,https://en.wikipedia.org/wiki/Veropoulos
Fortenova,https://en.wikipedia.org/wiki/Fortenova_Group
Fruška Gora,https://en.wikipedia.org/wiki/Fru%C5%A1ka_Gora
Vojvodina,https://en.wikipedia.org/wiki/Vojvodina
Mačva,https://en.wikipedia.org/wiki/Ma%C4%8Dva
Pomoravlje,https://en.wikipedia.org/wiki/Pomoravlje_(region)
Tamnava,https://en.wikipedia.org/wiki/Tamnava
Rasina,https://en.wikipedia.org/wiki/Rasina_District
Jablanica,https://en.wikipedia.org/wiki/Jablanica_District
plums,https://en.wikipedia.org/wiki/Plum
raspberries,https://en.wikipedia.org/wiki/Raspberry
Russia,https://en.wikipedia.org/wiki/Russia
United States,https://en.wikipedia.org/wiki/United_States
sunflower,https://en.wikipedia.org/wiki/Sunflower
sugar beet,https://en.wikipedia.org/wiki/Sugar_beet
soybean,https://en.wikipedia.org/wiki/Soybean
poultry,https://en.wikipedia.org/wiki/Poultry
vineyards in Serbia,https://en.wikipedia.org/wiki/Serbian_wine
Đerdap 1 hydroelectric power station,https://en.wikipedia.org/wiki/Iron_Gate_I_Hydroelectric_Power_Station
coal lignite,https://en.wikipedia.org/wiki/Lignite
Kolubara,https://en.wikipedia.org/wiki/RB_Kolubara
Kostolac,https://en.wikipedia.org/wiki/Kostolac_coal_mine
Banat,https://en.wikipedia.org/wiki/Banat
hydroelectric-power plants,https://en.wikipedia.org/wiki/Hydroelectricity
thermal-power plants,https://en.wikipedia.org/wiki/Fossil-fuel_power_station
Nikola Tesla 1,https://en.wikipedia.org/wiki/TPP_Nikola_Tesla
Nikola Tesla 2,https://en.wikipedia.org/wiki/TPP_Nikola_Tesla
Đerdap 1,https://en.wikipedia.org/wiki/Iron_Gate_I_Hydroelectric_Power_Station
Elektroprivreda Srbije (EPS),https://en.wikipedia.org/wiki/Elektroprivreda_Srbije
Naftna Industrija Srbije (NIS),https://en.wikipedia.org/wiki/Naftna_Industrija_Srbije
Gazprom Neft,https://en.wikipedia.org/wiki/Gazprom_Neft
Pančevo,https://en.wikipedia.org/wiki/Pan%C4%8Devo
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Romania,https://en.wikipedia.org/wiki/Romania
Adria oil pipeline,https://en.wikipedia.org/wiki/Adria_oil_pipeline
Srbijagas,https://en.wikipedia.org/wiki/Srbijagas
Banatski Dvor,https://en.wikipedia.org/wiki/Banatski_Dvor
UN sanctions and trade embargo,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_757
NATO bombing,https://en.wikipedia.org/wiki/NATO_bombing_of_Yugoslavia
Fiat Chrysler Automobiles,https://en.wikipedia.org/wiki/Fiat_Chrysler_Automobiles
Kragujevac,https://en.wikipedia.org/wiki/Kragujevac
