text,url
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
Sierra Leone Civil War,https://en.wikipedia.org/wiki/Sierra_Leone_Civil_War
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
149th largest economy in the world,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)
rentier state,https://en.wikipedia.org/wiki/Rentier_state
subsistence agriculture,https://en.wikipedia.org/wiki/Subsistence_agriculture
GDP,https://en.wikipedia.org/wiki/GDP
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
subsistence agriculture,https://en.wikipedia.org/wiki/Subsistence_agriculture
Gross Domestic Product,https://en.wikipedia.org/wiki/Gross_Domestic_Product
Rice,https://en.wikipedia.org/wiki/Rice
Department for International Development,https://en.wikipedia.org/wiki/Department_for_International_Development
Bumbuna plant,https://en.wikipedia.org/wiki/Bumbuna_Dam
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
mining,https://en.wikipedia.org/wiki/Mining
diamonds,https://en.wikipedia.org/wiki/Diamond
economic growth,https://en.wikipedia.org/wiki/Economic_growth
budget deficits,https://en.wikipedia.org/wiki/Budget_deficit
infrastructures,https://en.wikipedia.org/wiki/Infrastructure
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
3G mobile cellular data services,https://en.wikipedia.org/wiki/3G
ACE international fiber-optic cable system,https://en.wikipedia.org/wiki/ACE_(cable_system)
Freetown,https://en.wikipedia.org/wiki/Freetown
International Labour Organization,https://en.wikipedia.org/wiki/International_Labour_Organization
tourism,https://en.wikipedia.org/wiki/Tourism
Freetown International Airport,https://en.wikipedia.org/wiki/Freetown_International_Airport
highway,https://en.wikipedia.org/wiki/Highway
waterways,https://en.wikipedia.org/wiki/Waterway
Bonthe,https://en.wikipedia.org/wiki/Bonthe
Freetown,https://en.wikipedia.org/wiki/Freetown
Pepel,https://en.wikipedia.org/wiki/Pepel
Queen Elizabeth II Quay,https://en.wikipedia.org/wiki/Queen_Elizabeth_II_Quay
airports,https://en.wikipedia.org/wiki/Airport
heliports,https://en.wikipedia.org/wiki/Heliport
money laundering,https://en.wikipedia.org/wiki/Money_laundering
conflict resource,https://en.wikipedia.org/wiki/Conflict_resource
UN,https://en.wikipedia.org/wiki/United_Nations
rutile,https://en.wikipedia.org/wiki/Rutile
titanium,https://en.wikipedia.org/wiki/Titanium
petroleum,https://en.wikipedia.org/wiki/Petroleum
bauxite,https://en.wikipedia.org/wiki/Bauxite
World Bank,https://en.wikipedia.org/wiki/World_Bank
Sierra Leone’s Minister of Foreign Affairs,https://en.wikipedia.org/wiki/Ministry_of_foreign_affairs
Timothy Musa Kabba,https://en.wikipedia.org/wiki/Timothy_Kabba
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Deputy Prime Minister,https://en.wikipedia.org/wiki/Deputy_prime_minister
Foreign Minister Murat Nurtleu,https://en.wikipedia.org/wiki/Murat_Nurtileu
Trans-Caspian International Transport Route,https://en.wikipedia.org/wiki/Trans-Caspian_International_Transport_Route
e-Government,https://en.wikipedia.org/wiki/E-government
UN,https://en.wikipedia.org/wiki/United_Nations
Almaty,https://en.wikipedia.org/wiki/Almaty
central bank,https://en.wikipedia.org/wiki/Central_bank
Bank of Sierra Leone,https://en.wikipedia.org/wiki/Bank_of_Sierra_Leone
floating exchange rate,https://en.wikipedia.org/wiki/Floating_exchange_rate
bureaux,https://en.wikipedia.org/wiki/Service_bureau
automated teller machines,https://en.wikipedia.org/wiki/Automated_teller_machine
Visa cards,https://en.wikipedia.org/wiki/Visa_card
Economic Community of West African States,https://en.wikipedia.org/wiki/Economic_Community_of_West_African_States
Liberia,https://en.wikipedia.org/wiki/Liberia
Guinea,https://en.wikipedia.org/wiki/Guinea
Mano River Union,https://en.wikipedia.org/wiki/Mano_River_Union
WTO,https://en.wikipedia.org/wiki/WTO
Extractive industries,https://en.wikipedia.org/wiki/Extractive_industries
