text,url
highly developed,https://en.wikipedia.org/wiki/Developed_country
mixed,https://en.wikipedia.org/wiki/Mixed_economy
market economy,https://en.wikipedia.org/wiki/Market_economy
dirigiste,https://en.wikipedia.org/wiki/Dirigiste
Singapore,https://en.wikipedia.org/wiki/Singapore
joint 4th-least corrupt,https://en.wikipedia.org/wiki/Corruption_in_Singapore
tax-rates,https://en.wikipedia.org/wiki/Tax_rate
second highest per-capita GDP,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)_per_capita
Asia-Pacific Economic Cooperation,https://en.wikipedia.org/wiki/Asia-Pacific_Economic_Cooperation
business,https://en.wikipedia.org/wiki/Business
privately held companies,https://en.wikipedia.org/wiki/Privately_held_company
public companies,https://en.wikipedia.org/wiki/Public_company
state-owned enterprises,https://en.wikipedia.org/wiki/State-owned_enterprise
sovereign wealth fund,https://en.wikipedia.org/wiki/Sovereign_wealth_fund
Temasek Holdings,https://en.wikipedia.org/wiki/Temasek_Holdings
bellwether,https://en.wikipedia.org/wiki/Bellwether
Singapore Airlines,https://en.wikipedia.org/wiki/Singapore_Airlines
Singtel,https://en.wikipedia.org/wiki/Singtel
ST Engineering,https://en.wikipedia.org/wiki/ST_Engineering
Mediacorp,https://en.wikipedia.org/wiki/Mediacorp
foreign direct investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
FDI outflow-financier,https://en.wikipedia.org/wiki/List_of_countries_by_FDI_abroad
large inward flows of FDI,https://en.wikipedia.org/wiki/List_of_countries_by_received_FDI
investors,https://en.wikipedia.org/wiki/Investor
financial institutions,https://en.wikipedia.org/wiki/Financial_institution
multinational corporations,https://en.wikipedia.org/wiki/Multinational_corporation
entrepôt,https://en.wikipedia.org/wiki/Entrep%C3%B4t
export-oriented industrialization,https://en.wikipedia.org/wiki/Export-oriented_industrialization
wafer-fabrication,https://en.wikipedia.org/wiki/Wafer_fabrication
oil refining,https://en.wikipedia.org/wiki/Oil_refining
trade-to-GDP ratio,https://en.wikipedia.org/wiki/Trade-to-GDP_ratio
Port of Singapore,https://en.wikipedia.org/wiki/Port_of_Singapore
second-busiest,https://en.wikipedia.org/wiki/List_of_world%27s_busiest_ports_by_cargo_tonnage
MNCs,https://en.wikipedia.org/wiki/MNCs
Asia-Pacific,https://en.wikipedia.org/wiki/Asia-Pacific
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
airline hub,https://en.wikipedia.org/wiki/Airline_hub
maritime port,https://en.wikipedia.org/wiki/Port
fiber-optic communications,https://en.wikipedia.org/wiki/Fiber-optic_communication
road transport,https://en.wikipedia.org/wiki/Road_transport#Modern_roads
public transport,https://en.wikipedia.org/wiki/Public_transport
global talent,https://en.wikipedia.org/wiki/Human_capital
tourist destination,https://en.wikipedia.org/wiki/Tourist_attraction#Tourist_destination
tourism,https://en.wikipedia.org/wiki/Tourism
Business tourism,https://en.wikipedia.org/wiki/Business_tourism
"MICE (Meetings, Incentives, Conferences, Exhibitions) tourism","https://en.wikipedia.org/wiki/MICE_(Meetings,_Incentives,_Conferences,_Exhibitions)_tourism"
Medical tourism,https://en.wikipedia.org/wiki/Medical_tourism
Urban tourism,https://en.wikipedia.org/wiki/Urban_tourism
electronics,https://en.wikipedia.org/wiki/Electronics
chemicals,https://en.wikipedia.org/wiki/Chemical
services,https://en.wikipedia.org/wiki/Service_(economics)
wealth management,https://en.wikipedia.org/wiki/Wealth_management
scarce in Singapore,https://en.wikipedia.org/wiki/Water_supply_and_sanitation_in_Singapore
imported from Malaysia,https://en.wikipedia.org/wiki/Water_conflicts_between_Malaysia_and_Singapore
Small and medium-sized enterprises,https://en.wikipedia.org/wiki/Small_and_medium-sized_enterprises
agrotechnology,https://en.wikipedia.org/wiki/Agrotechnology
hydroponic,https://en.wikipedia.org/wiki/Hydroponics
agricultural production,https://en.wikipedia.org/wiki/Agriculture_in_Singapore
food security,https://en.wikipedia.org/wiki/Food_security
trade,https://en.wikipedia.org/wiki/Trade
the East,https://en.wikipedia.org/wiki/Eastern_world
the West,https://en.wikipedia.org/wiki/Western_world
natural resources,https://en.wikipedia.org/wiki/Natural_resource
human resources,https://en.wikipedia.org/wiki/Human_resources
educated,https://en.wikipedia.org/wiki/Education
skilled,https://en.wikipedia.org/wiki/Skill
Professional,https://en.wikipedia.org/wiki/Professional
Managerial,https://en.wikipedia.org/wiki/Management
Executive,https://en.wikipedia.org/wiki/Business_executive
Technical,https://en.wikipedia.org/wiki/Technician
workforce,https://en.wikipedia.org/wiki/Workforce
expatriates,https://en.wikipedia.org/wiki/Expatriate
Biopolis,https://en.wikipedia.org/wiki/Biopolis
prosperity,https://en.wikipedia.org/wiki/Prosperity
innovation,https://en.wikipedia.org/wiki/Innovation
entrepreneurship,https://en.wikipedia.org/wiki/Entrepreneurship
retrain,https://en.wikipedia.org/wiki/Retraining
workforce,https://en.wikipedia.org/wiki/Workforce
Ministry of Manpower,https://en.wikipedia.org/wiki/Ministry_of_Manpower_(Singapore)
immigration,https://en.wikipedia.org/wiki/Immigration
foreign workers,https://en.wikipedia.org/wiki/Foreign_worker
domestic workers,https://en.wikipedia.org/wiki/Domestic_worker
Stamford Raffles,https://en.wikipedia.org/wiki/Stamford_Raffles
Lieutenant-Governor of Bencoolen,https://en.wikipedia.org/wiki/Lieutenant-Governor_of_Bencoolen
nations,https://en.wikipedia.org/wiki/Nations
Treaty of Vienna of 1815,https://en.wikipedia.org/wiki/Treaty_of_Vienna_(1815)
Temenggong,https://en.wikipedia.org/wiki/Temenggong
Abdul Rahman,https://en.wikipedia.org/wiki/Temenggong_Abdul_Rahman
Johar,https://en.wikipedia.org/wiki/Johor_Sultanate
Tengku,https://en.wikipedia.org/wiki/Tengku
"Rahman, Sultan of Johor",https://en.wikipedia.org/wiki/Abdul_Rahman_Muazzam_Shah_of_Johor
Bugis,https://en.wikipedia.org/wiki/Bugis
Hussein,https://en.wikipedia.org/wiki/Hussein_Shah_of_Johor
the Riau Archipelago,https://en.wikipedia.org/wiki/Riau_Archipelago
stipend,https://en.wikipedia.org/wiki/Stipend
Suez Canal,https://en.wikipedia.org/wiki/Suez_Canal
Mediterranean Sea,https://en.wikipedia.org/wiki/Mediterranean_Sea
Red Sea,https://en.wikipedia.org/wiki/Red_Sea
Straits dollars,https://en.wikipedia.org/wiki/Straits_dollar
Economic Development Board,https://en.wikipedia.org/wiki/Economic_Development_Board
Lee Kuan Yew,https://en.wikipedia.org/wiki/Lee_Kuan_Yew
Economic Development Board,https://en.wikipedia.org/wiki/Economic_Development_Board
Goh Chok Tong,https://en.wikipedia.org/wiki/Goh_Chok_Tong
European Union,https://en.wikipedia.org/wiki/European_Union
SARS,https://en.wikipedia.org/wiki/SARS
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
