text,url
Slovakia,https://en.wikipedia.org/wiki/Slovakia
EU member state,https://en.wikipedia.org/wiki/EU_member_state
euro,https://en.wikipedia.org/wiki/Euro
Bratislava,https://en.wikipedia.org/wiki/Bratislava
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
Tatra Tiger,https://en.wikipedia.org/wiki/Tatra_Tiger
planned economy,https://en.wikipedia.org/wiki/Planned_economy
free market economy,https://en.wikipedia.org/wiki/Free_market_economy
crony capitalism,https://en.wikipedia.org/wiki/Crony_capitalism
Vladimír Mečiar,https://en.wikipedia.org/wiki/Vladim%C3%ADr_Me%C4%8Diar
trade deficits,https://en.wikipedia.org/wiki/Trade_deficit
privatization,https://en.wikipedia.org/wiki/Privatization
Mikuláš Dzurinda,https://en.wikipedia.org/wiki/Mikul%C3%A1%C5%A1_Dzurinda
recession,https://en.wikipedia.org/wiki/Recession
European Union,https://en.wikipedia.org/wiki/European_Union
OECD,https://en.wikipedia.org/wiki/OECD
Estonia,https://en.wikipedia.org/wiki/Economy_of_Estonia
Latvia,https://en.wikipedia.org/wiki/Economy_of_Latvia
small and medium-sized,https://en.wikipedia.org/wiki/Small_and_medium-sized_enterprises
Foreign direct investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
Brigita Schmögnerová,https://en.wikipedia.org/wiki/Brigita_Schm%C3%B6gnerov%C3%A1
social dumping,https://en.wikipedia.org/wiki/Social_dumping
European Union,https://en.wikipedia.org/wiki/European_Union
OECD,https://en.wikipedia.org/wiki/OECD
Slovakia's tourism,https://en.wikipedia.org/wiki/Tourism_in_Slovakia
Heavy industry,https://en.wikipedia.org/wiki/Heavy_industry
Volkswagen,https://en.wikipedia.org/wiki/Volkswagen
Peugeot,https://en.wikipedia.org/wiki/Peugeot
Trnava,https://en.wikipedia.org/wiki/Trnava
Kia Motors,https://en.wikipedia.org/wiki/Kia_Motors
Žilina,https://en.wikipedia.org/wiki/Kia_Design_and_Manufacturing_Facilities#Žilina_Plant
Jaguar Land Rover,https://en.wikipedia.org/wiki/Jaguar_Land_Rover
Nitra,https://en.wikipedia.org/wiki/Nitra
U.S. Steel,https://en.wikipedia.org/wiki/U.S._Steel
Slovnaft,https://en.wikipedia.org/wiki/Slovnaft
Samsung Electronics,https://en.wikipedia.org/wiki/Samsung_Electronics
Foxconn,https://en.wikipedia.org/wiki/Foxconn
Mondi SCP,https://en.wikipedia.org/wiki/Mondi
Slovalco,https://en.wikipedia.org/wiki/Slovalco
Hyundai Mobis,https://en.wikipedia.org/wiki/Hyundai_Mobis
Continental Matador,https://en.wikipedia.org/wiki/Matador_(company)
