text,url
economy,https://en.wikipedia.org/wiki/Economy
South Africa,https://en.wikipedia.org/wiki/South_Africa
Africa,https://en.wikipedia.org/wiki/Africa
mixed economy,https://en.wikipedia.org/wiki/Mixed_economy
emerging market,https://en.wikipedia.org/wiki/Emerging_market
South Africa,https://en.wikipedia.org/wiki/South_Africa
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
middle class,https://en.wikipedia.org/wiki/Middle_class
apartheid,https://en.wikipedia.org/wiki/Apartheid
natural resource extraction industry,https://en.wikipedia.org/wiki/Mining_industry_of_South_Africa
GDP,https://en.wikipedia.org/wiki/GDP
$,https://en.wikipedia.org/wiki/United_States_dollar
services,https://en.wikipedia.org/wiki/Tertiary_sector_of_the_economy
financial industry,https://en.wikipedia.org/wiki/Financial_services
financial institutions,https://en.wikipedia.org/wiki/Financial_institutions
assets,https://en.wikipedia.org/wiki/Assets
market capitalization,https://en.wikipedia.org/wiki/Market_capitalization
Johannesburg Stock Exchange,https://en.wikipedia.org/wiki/Johannesburg_Stock_Exchange
state-owned enterprises of South Africa,https://en.wikipedia.org/wiki/State-owned_enterprises_of_South_Africa
high-tech,https://en.wikipedia.org/wiki/High-tech
corruption,https://en.wikipedia.org/wiki/Corruption_in_South_Africa
G20,https://en.wikipedia.org/wiki/G20
Robert Walters plc,https://en.wikipedia.org/wiki/Robert_Walters_plc
Dutch,https://en.wikipedia.org/wiki/Dutch_people
Dutch East India Company,https://en.wikipedia.org/wiki/Dutch_East_India_Company
Huguenots,https://en.wikipedia.org/wiki/Huguenot
Great Trek,https://en.wikipedia.org/wiki/Great_Trek
Transvaal,https://en.wikipedia.org/wiki/South_African_Republic
Orange Free State,https://en.wikipedia.org/wiki/Orange_Free_State
diamonds,https://en.wikipedia.org/wiki/Diamond
Kimberley,"https://en.wikipedia.org/wiki/Kimberley,_Northern_Cape"
Witwatersrand,https://en.wikipedia.org/wiki/Witwatersrand
Second Boer War,https://en.wikipedia.org/wiki/Second_Boer_War
scorched earth,https://en.wikipedia.org/wiki/Scorched_earth
South African trade unions,https://en.wikipedia.org/wiki/Trade_unions_in_South_Africa
National Party,https://en.wikipedia.org/wiki/National_Party_(South_Africa)
Apartheid,https://en.wikipedia.org/wiki/Apartheid
African National Congress,https://en.wikipedia.org/wiki/African_National_Congress
Thabo Mbeki,https://en.wikipedia.org/wiki/Thabo_Mbeki
foreign investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
labour laws,https://en.wikipedia.org/wiki/Labour_laws
privatisation,https://en.wikipedia.org/wiki/Privatisation
organised labour,https://en.wikipedia.org/wiki/Organised_labour
capital formation,https://en.wikipedia.org/wiki/Capital_formation
late-2000s recession,https://en.wikipedia.org/wiki/Late-2000s_recession
Reserve Bank,https://en.wikipedia.org/wiki/South_African_Reserve_Bank
Tito Mboweni,https://en.wikipedia.org/wiki/Tito_Mboweni
Trevor Manuel,https://en.wikipedia.org/wiki/Trevor_Manuel
Joseph Stiglitz,https://en.wikipedia.org/wiki/Joseph_Stiglitz
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
late 2000s recession,https://en.wikipedia.org/wiki/Late_2000s_recession
inequality,https://en.wikipedia.org/wiki/Economic_inequality
Pravin Gordhan,https://en.wikipedia.org/wiki/Pravin_Gordhan
Jacob Zuma,https://en.wikipedia.org/wiki/Jacob_Zuma
S&P Global,https://en.wikipedia.org/wiki/S%26P_Global
Inflation rate,https://en.wikipedia.org/wiki/Consumer_price_index_(South_Africa)
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
agriculture,https://en.wikipedia.org/wiki/Agriculture
mining,https://en.wikipedia.org/wiki/Mining
manufacturing,https://en.wikipedia.org/wiki/Manufacturing
primary,https://en.wikipedia.org/wiki/Primary_sector_of_the_economy
secondary,https://en.wikipedia.org/wiki/Secondary_sector_of_the_economy
financial and business services,https://en.wikipedia.org/wiki/Financial_services
platinum,https://en.wikipedia.org/wiki/Platinum
chromium,https://en.wikipedia.org/wiki/Chromium
manganese,https://en.wikipedia.org/wiki/Manganese
titanium,https://en.wikipedia.org/wiki/Titanium
gold,https://en.wikipedia.org/wiki/Gold
vanadium,https://en.wikipedia.org/wiki/Vanadium
iron ore,https://en.wikipedia.org/wiki/Iron_ore
cobalt,https://en.wikipedia.org/wiki/Cobalt
phosphate,https://en.wikipedia.org/wiki/Phosphate
uranium,https://en.wikipedia.org/wiki/Uranium
Orange River,https://en.wikipedia.org/wiki/Orange_River
Kimberley,"https://en.wikipedia.org/wiki/Kimberley,_Northern_Cape"
Pilgrim's Rest,"https://en.wikipedia.org/wiki/Pilgrim%27s_Rest,_Mpumalanga"
Barberton,"https://en.wikipedia.org/wiki/Barberton,_Mpumalanga"
Witwatersrand Gold Rush,https://en.wikipedia.org/wiki/Witwatersrand_Gold_Rush
kyanite,https://en.wikipedia.org/wiki/Kyanite
palladium,https://en.wikipedia.org/wiki/Palladium
vermiculite,https://en.wikipedia.org/wiki/Vermiculite
vanadium,https://en.wikipedia.org/wiki/Vanadium
zirconium,https://en.wikipedia.org/wiki/Zirconium
manganese,https://en.wikipedia.org/wiki/Manganese
rutile,https://en.wikipedia.org/wiki/Rutile
ilmenite,https://en.wikipedia.org/wiki/Ilmenite
fluorspar,https://en.wikipedia.org/wiki/Fluorspar
antimony,https://en.wikipedia.org/wiki/Antimony
phosphate rock,https://en.wikipedia.org/wiki/Phosphate_rock
platinum group metals,https://en.wikipedia.org/wiki/Platinum_group_metals
hafnium,https://en.wikipedia.org/wiki/Hafnium
zirconium,https://en.wikipedia.org/wiki/Zirconium
vanadium,https://en.wikipedia.org/wiki/Vanadium
