text,url
South Sudan,https://en.wikipedia.org/wiki/South_Sudan
South Sudanese Civil War,https://en.wikipedia.org/wiki/South_Sudanese_Civil_War
stagnation,https://en.wikipedia.org/wiki/Economic_stagnation
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
oil,https://en.wikipedia.org/wiki/Petroleum
Instability,https://en.wikipedia.org/wiki/Fragile_States_Index
corruption,https://en.wikipedia.org/wiki/Corruption_in_South_Sudan
least developed countries,https://en.wikipedia.org/wiki/Least_developed_countries
paved roads,https://en.wikipedia.org/wiki/Road_surface
Western Equatoria,https://en.wikipedia.org/wiki/Western_Equatoria
Central Equatoria,https://en.wikipedia.org/wiki/Central_Equatoria
mvuba,https://en.wikipedia.org/wiki/Mvuba
River Nile,https://en.wikipedia.org/wiki/Nile
petroleum,https://en.wikipedia.org/wiki/Petroleum
iron ore,https://en.wikipedia.org/wiki/Iron_ore
copper,https://en.wikipedia.org/wiki/Copper
chromium,https://en.wikipedia.org/wiki/Chromium
zinc,https://en.wikipedia.org/wiki/Zinc
tungsten,https://en.wikipedia.org/wiki/Tungsten
mica,https://en.wikipedia.org/wiki/Mica
silver,https://en.wikipedia.org/wiki/Silver
gold,https://en.wikipedia.org/wiki/Gold
hydropower,https://en.wikipedia.org/wiki/Hydropower
cotton,https://en.wikipedia.org/wiki/Cotton
peanuts,https://en.wikipedia.org/wiki/Peanut
sorghum,https://en.wikipedia.org/wiki/Sorghum
millet,https://en.wikipedia.org/wiki/Millet
wheat,https://en.wikipedia.org/wiki/Wheat
gum arabic,https://en.wikipedia.org/wiki/Gum_arabic
sugarcane,https://en.wikipedia.org/wiki/Sugarcane
cassava,https://en.wikipedia.org/wiki/Cassava
mangos,https://en.wikipedia.org/wiki/Mango
papaya,https://en.wikipedia.org/wiki/Papaya
bananas,https://en.wikipedia.org/wiki/Banana
sweet potatoes,https://en.wikipedia.org/wiki/Sweet_potatoes
sesame,https://en.wikipedia.org/wiki/Sesame
Sudanese,https://en.wikipedia.org/wiki/Sudan
Comprehensive Peace Agreement,https://en.wikipedia.org/wiki/Comprehensive_Peace_Agreement
refineries,https://en.wikipedia.org/wiki/Oil_refinery
Red Sea,https://en.wikipedia.org/wiki/Red_Sea_(state)
government,https://en.wikipedia.org/wiki/Government_of_Sudan
Khartoum,https://en.wikipedia.org/wiki/Khartoum
Ministry of Finance and Economic Planning,https://en.wikipedia.org/wiki/Ministry_of_Finance_and_Economic_Planning_(Rwanda)
Bentiu,https://en.wikipedia.org/wiki/Bentiu
Jonglei,https://en.wikipedia.org/wiki/Jonglei
Warrap,https://en.wikipedia.org/wiki/Warrap_(state)
Lakes,https://en.wikipedia.org/wiki/Lakes_State
autonomy years,https://en.wikipedia.org/wiki/Autonomous_Government_of_Southern_Sudan
Khartoum,https://en.wikipedia.org/wiki/Khartoum
Greater Nile Petroleum Operating Company,https://en.wikipedia.org/wiki/Greater_Nile_Petroleum_Operating_Company
China National Petroleum Corporation,https://en.wikipedia.org/wiki/China_National_Petroleum_Corporation
People's Republic of China,https://en.wikipedia.org/wiki/People%27s_Republic_of_China
Petronas,https://en.wikipedia.org/wiki/Petronas
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Oil and Natural Gas Corporation,https://en.wikipedia.org/wiki/Oil_and_Natural_Gas_Corporation
India,https://en.wikipedia.org/wiki/India
Sudapet,https://en.wikipedia.org/wiki/Sudapet
United States,https://en.wikipedia.org/wiki/United_States
state sponsors of terrorism,https://en.wikipedia.org/wiki/State_sponsor_of_terrorism
landlocked,https://en.wikipedia.org/wiki/Landlocked_country
Upper Nile,https://en.wikipedia.org/wiki/Upper_Nile_(state)
Petrodar,https://en.wikipedia.org/wiki/Petrodar
CNPC,https://en.wikipedia.org/wiki/CNPC
Petronas,https://en.wikipedia.org/wiki/Petronas
Sinopec Corp,https://en.wikipedia.org/wiki/Sinopec
Al Thani,https://en.wikipedia.org/wiki/Al_Thani
Total,https://en.wikipedia.org/wiki/Total_S.A.
France,https://en.wikipedia.org/wiki/France
force majeure,https://en.wikipedia.org/wiki/Force_majeure
SPLM,https://en.wikipedia.org/wiki/SPLM
Dr. John Garang de Mabior,https://en.wikipedia.org/wiki/Dr._John_Garang_De_Mabior
al-Bashir,https://en.wikipedia.org/wiki/Omar_Hassan_al-Bashir
Kiir,https://en.wikipedia.org/wiki/Salva_Kiir_Mayardit
People's Republic of China,https://en.wikipedia.org/wiki/People%27s_Republic_of_China
Kenyan,https://en.wikipedia.org/wiki/Kenya
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
