text,url
economy,https://en.wikipedia.org/wiki/Economy
Spain,https://en.wikipedia.org/wiki/Spain
highly developed,https://en.wikipedia.org/wiki/Developed_country
social market economy,https://en.wikipedia.org/wiki/Social_market_economy
12th largest,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
sixth-largest,https://en.wikipedia.org/wiki/List_of_sovereign_states_in_Europe_by_GDP_(nominal)
Europe,https://en.wikipedia.org/wiki/Europe
European Union,https://en.wikipedia.org/wiki/European_Union
eurozone,https://en.wikipedia.org/wiki/Eurozone
Organization for Economic Co-operation and Development,https://en.wikipedia.org/wiki/OECD
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
18th-largest,https://en.wikipedia.org/wiki/List_of_countries_by_exports
exporter,https://en.wikipedia.org/wiki/Export
15th-largest,https://en.wikipedia.org/wiki/List_of_countries_by_imports
importer,https://en.wikipedia.org/wiki/Import
27th,https://en.wikipedia.org/wiki/List_of_countries_by_Human_Development_Index
United Nations,https://en.wikipedia.org/wiki/United_Nations
Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
29th,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita
per capita,https://en.wikipedia.org/wiki/Per_capita
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
automotive industry,https://en.wikipedia.org/wiki/Automotive_industry
medical technology,https://en.wikipedia.org/wiki/Medical_device
chemicals,https://en.wikipedia.org/wiki/Chemicals
shipbuilding,https://en.wikipedia.org/wiki/Shipbuilding
tourism,https://en.wikipedia.org/wiki/Tourism
textile industry,https://en.wikipedia.org/wiki/Clothing
social security system,https://en.wikipedia.org/wiki/Social_security_in_Spain
roughly 23% of GDP,https://en.wikipedia.org/wiki/Welfare_state#Effects
Great Recession,https://en.wikipedia.org/wiki/Great_Recession
European Stability Mechanism,https://en.wikipedia.org/wiki/European_Stability_Mechanism
trade deficit,https://en.wikipedia.org/wiki/Trade_deficit
trade surplus,https://en.wikipedia.org/wiki/Trade_surplus
Spain's unemployment,https://en.wikipedia.org/wiki/Unemployment_in_Spain
grey market,https://en.wikipedia.org/wiki/Grey_market
high income,https://en.wikipedia.org/wiki/World_Bank_high-income_economy
European,https://en.wikipedia.org/wiki/Europe
purchasing power,https://en.wikipedia.org/wiki/Purchasing_power
gini coefficient,https://en.wikipedia.org/wiki/Gini_coefficient
2020 pandemic,https://en.wikipedia.org/wiki/2020_pandemic
Eurostat,https://en.wikipedia.org/wiki/Eurostat
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Slovenia,https://en.wikipedia.org/wiki/Slovenia
South Korea,https://en.wikipedia.org/wiki/South_Korea
agriculture,https://en.wikipedia.org/wiki/Agriculture_in_Spain
EEC,https://en.wikipedia.org/wiki/EEC
GDP per capita,https://en.wikipedia.org/wiki/GDP_per_capita
Jose María Aznar,https://en.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Aznar
euro,https://en.wikipedia.org/wiki/Euro
EU enlargements,https://en.wikipedia.org/wiki/EU_enlargement
the Basque Country,https://en.wikipedia.org/wiki/Basque_Country_(autonomous_community)
Madrid,https://en.wikipedia.org/wiki/Community_of_Madrid
Navarre,https://en.wikipedia.org/wiki/Navarre
Die Welt,https://en.wikipedia.org/wiki/Die_Welt
underground economy,https://en.wikipedia.org/wiki/Underground_economy
real estate bubble,https://en.wikipedia.org/wiki/Real_estate_bubble
household debt,https://en.wikipedia.org/wiki/Household_debt
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
late 2000s recession,https://en.wikipedia.org/wiki/Late_2000s_recession
ESADE,https://en.wikipedia.org/wiki/ESADE
ruling party changed in 2004,"https://en.wikipedia.org/wiki/Spanish_general_election,_2004"
José Luis Rodríguez Zapatero,https://en.wikipedia.org/wiki/Jos%C3%A9_Luis_Rodr%C3%ADguez_Zapatero
Financial Times,https://en.wikipedia.org/wiki/Financial_Times
trade deficit,https://en.wikipedia.org/wiki/Balance_of_trade
Spanish Real Estate boom,https://en.wikipedia.org/wiki/Spanish_property_bubble
recession,https://en.wikipedia.org/wiki/Recession
European Commission,https://en.wikipedia.org/wiki/European_Commission
property bubble,https://en.wikipedia.org/wiki/Spanish_property_bubble
Great Recession,https://en.wikipedia.org/wiki/Great_Recession
European Central Bank,https://en.wikipedia.org/wiki/European_Central_Bank
2008–2014 Spanish financial crisis,https://en.wikipedia.org/wiki/2008%E2%80%932014_Spanish_financial_crisis
eurozone,https://en.wikipedia.org/wiki/Eurozone
European single market,https://en.wikipedia.org/wiki/European_single_market
Great Recession,https://en.wikipedia.org/wiki/Great_Recession
Torres de la Casería de Ossio,https://en.wikipedia.org/wiki/Torres_de_la_Caser%C3%ADa_de_Ossio
San Fernando,"https://en.wikipedia.org/wiki/San_Fernando,_C%C3%A1diz"
full employment,https://en.wikipedia.org/wiki/Full_employment
structural unemployment,https://en.wikipedia.org/wiki/Structural_unemployment
flexible labor market,https://en.wikipedia.org/wiki/Labour_market_flexibility
Pedro Sánchez,https://en.wikipedia.org/wiki/Pedro_S%C3%A1nchez_(politician)
2004,https://en.wikipedia.org/wiki/2004_enlargement_of_the_European_Union
2007,https://en.wikipedia.org/wiki/2007_enlargement_of_the_European_Union
enlargement of the European Union,https://en.wikipedia.org/wiki/Enlargement_of_the_European_Union
trade deficit,https://en.wikipedia.org/wiki/Trade_deficit
trade surplus,https://en.wikipedia.org/wiki/Trade_surplus
labor productivity,https://en.wikipedia.org/wiki/Productivity#labor
internal devaluation,https://en.wikipedia.org/wiki/Internal_devaluation
output,https://en.wikipedia.org/wiki/Output_(economics)
50 provinces,https://en.wikipedia.org/wiki/Provinces_of_Spain
National Statistics Institute,https://en.wikipedia.org/wiki/Instituto_Nacional_de_Estad%C3%ADstica_(Spain)
capital provisions,https://en.wikipedia.org/wiki/Capital_requirement
BBVA,https://en.wikipedia.org/wiki/BBVA
Santander,https://en.wikipedia.org/wiki/Banco_Santander
FROB,https://en.wikipedia.org/wiki/FROB
Banco de España,https://en.wikipedia.org/wiki/Bank_of_Spain
Bankia,https://en.wikipedia.org/wiki/Bankia
CAM,https://en.wikipedia.org/wiki/Caja_de_Ahorros_del_Mediterr%C3%A1neo
Catalunya Banc,https://en.wikipedia.org/wiki/Catalunya_Banc
Banco de Valencia,https://en.wikipedia.org/wiki/Banco_de_Valencia
2008–2014 Spanish financial crisis,https://en.wikipedia.org/wiki/2008%E2%80%932014_Spanish_financial_crisis
online banking,https://en.wikipedia.org/wiki/Online_banking
Parkinson's disease,https://en.wikipedia.org/wiki/Parkinson%27s_disease
EMU,https://en.wikipedia.org/wiki/Economic_and_Monetary_Union_of_the_European_Union
competitive devaluations,https://en.wikipedia.org/wiki/Competitive_devaluation
scenario of record oil prices by the mid-2000s,https://en.wikipedia.org/wiki/2000s_(decade)_energy_crisis
dramatic decrease of oil prices,https://en.wikipedia.org/wiki/2003_to_2008_world_oil_market_chronology#Mid-Late_2008_decreases
deflation,https://en.wikipedia.org/wiki/Deflation
core inflation,https://en.wikipedia.org/wiki/Core_inflation
renewable energy,https://en.wikipedia.org/wiki/Renewable_energy
Iberdrola,https://en.wikipedia.org/wiki/Iberdrola
Telefónica,https://en.wikipedia.org/wiki/Telef%C3%B3nica
Abengoa,https://en.wikipedia.org/wiki/Abengoa
Mondragon Corporation,https://en.wikipedia.org/wiki/Mondragon_Corporation
Movistar,https://en.wikipedia.org/wiki/Movistar
Gamesa,https://en.wikipedia.org/wiki/Gamesa_Corporaci%C3%B3n_Tecnol%C3%B3gica
Hisdesat,https://en.wikipedia.org/wiki/Hisdesat
Indra,https://en.wikipedia.org/wiki/Indra_Sistemas
CAF,https://en.wikipedia.org/wiki/Construcciones_y_Auxiliar_de_Ferrocarriles
Talgo,https://en.wikipedia.org/wiki/Talgo
Inditex,https://en.wikipedia.org/wiki/Inditex
Repsol,https://en.wikipedia.org/wiki/Repsol
Ferrovial,https://en.wikipedia.org/wiki/Ferrovial
Acciona,https://en.wikipedia.org/wiki/Acciona
ACS,https://en.wikipedia.org/wiki/Grupo_ACS
OHL,https://en.wikipedia.org/wiki/Obrasc%C3%B3n_Huarte_Lain
FCC,https://en.wikipedia.org/wiki/Fomento_de_Construcciones_y_Contratas
global systemically important banks,https://en.wikipedia.org/wiki/List_of_systemically_important_banks
Banco Santander,https://en.wikipedia.org/wiki/Banco_Santander
BBVA,https://en.wikipedia.org/wiki/BBVA
Global Competitiveness Report,https://en.wikipedia.org/wiki/Global_Competitiveness_Report
the second longest network in the world,https://en.wikipedia.org/wiki/AVE
port of Barcelona,https://en.wikipedia.org/wiki/Port_of_Barcelona
port of Valencia,https://en.wikipedia.org/wiki/Port_of_Valencia
Mediterranean basin,https://en.wikipedia.org/wiki/Mediterranean_basin
Algeciras,https://en.wikipedia.org/wiki/Port_of_Algeciras
Barcelona,https://en.wikipedia.org/wiki/Port_of_Barcelona
Las Palmas,https://en.wikipedia.org/wiki/Port_of_Las_Palmas
Bilbao,https://en.wikipedia.org/wiki/Port_of_Bilbao
trade deficit,https://en.wikipedia.org/wiki/Trade_deficit
external debt,https://en.wikipedia.org/wiki/External_debt
trade deficit,https://en.wikipedia.org/wiki/Trade_deficit
trade surplus,https://en.wikipedia.org/wiki/Trade_surplus
capital goods,https://en.wikipedia.org/wiki/Capital_goods
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
import substitution,https://en.wikipedia.org/wiki/Import_substitution
IBEX 35,https://en.wikipedia.org/wiki/IBEX_35
Banco Santander,https://en.wikipedia.org/wiki/Banco_Santander
BBVA,https://en.wikipedia.org/wiki/BBVA
Inditex,https://en.wikipedia.org/wiki/Inditex
Telefónica,https://en.wikipedia.org/wiki/Telef%C3%B3nica
Iberdrola,https://en.wikipedia.org/wiki/Iberdrola
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
World Economic Forum,https://en.wikipedia.org/wiki/World_Economic_Forum
World Tourism Organization,https://en.wikipedia.org/wiki/World_Tourism_Organization
Madrid,https://en.wikipedia.org/wiki/Madrid
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
foreign direct investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
PS10 solar power plant,https://en.wikipedia.org/wiki/PS10_solar_power_plant
PS20 solar power plant,https://en.wikipedia.org/wiki/PS20_solar_power_plant
Seville,https://en.wikipedia.org/wiki/Seville
renewable energies,https://en.wikipedia.org/wiki/Renewable_energies
wind power,https://en.wikipedia.org/wiki/Wind_power
Agribusiness,https://en.wikipedia.org/wiki/Agribusiness
citrus fruit,https://en.wikipedia.org/wiki/Citrus_fruit
oranges,https://en.wikipedia.org/wiki/Orange_(fruit)
lemons,https://en.wikipedia.org/wiki/Lemons
peaches,https://en.wikipedia.org/wiki/Peaches
apricots,https://en.wikipedia.org/wiki/Apricots
strawberries,https://en.wikipedia.org/wiki/Strawberries
Mercadona,https://en.wikipedia.org/wiki/Mercadona
Carrefour,https://en.wikipedia.org/wiki/Carrefour
Lidl,https://en.wikipedia.org/wiki/Lidl
DIA,https://en.wikipedia.org/wiki/DIA_(supermarket_chain)
Eroski,https://en.wikipedia.org/wiki/Eroski
Auchan,https://en.wikipedia.org/wiki/Auchan
Gerena,https://en.wikipedia.org/wiki/Gerena
gypsum,https://en.wikipedia.org/wiki/Gypsum
potash,https://en.wikipedia.org/wiki/Potash
salt,https://en.wikipedia.org/wiki/Table_salt
Copper,https://en.wikipedia.org/wiki/Copper
Iberian Pyrite Belt,https://en.wikipedia.org/wiki/Iberian_Pyrite_Belt
province of Granada,https://en.wikipedia.org/wiki/Province_of_Granada
Celestine,https://en.wikipedia.org/wiki/Celestine_(mineral)
strontium,https://en.wikipedia.org/wiki/Strontium
List of largest Spanish companies,https://en.wikipedia.org/wiki/List_of_largest_Spanish_companies
Automotive industry in Spain,https://en.wikipedia.org/wiki/Automotive_industry_in_Spain
Tourism in Spain,https://en.wikipedia.org/wiki/Tourism_in_Spain
Agriculture in Spain,https://en.wikipedia.org/wiki/Agriculture_in_Spain
Spanish Miracle,https://en.wikipedia.org/wiki/Spanish_Miracle
Economic history of Spain,https://en.wikipedia.org/wiki/Economic_history_of_Spain
Asian immigrants and the economy of Spain,https://en.wikipedia.org/wiki/Asian_Immigrants_and_the_Economy_of_Spain
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
OECD,https://en.wikipedia.org/wiki/OECD
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Eurostat,https://en.wikipedia.org/wiki/Eurostat
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
Transparency International,https://en.wikipedia.org/wiki/Transparency_International
INE,https://en.wikipedia.org/wiki/National_Statistics_Institute_(Spain)
INE,https://en.wikipedia.org/wiki/National_Statistics_Institute_(Spain)
Bank of Spain,https://en.wikipedia.org/wiki/Bank_of_Spain
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
OECD,https://en.wikipedia.org/wiki/OECD
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
