text,url
mixed economy,https://en.wikipedia.org/wiki/Mixed_economy
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
purchasing power parity,https://en.wikipedia.org/wiki/Purchasing_power_parity
Millennium Development Goal,https://en.wikipedia.org/wiki/Millennium_Development_Goals
South Asian,https://en.wikipedia.org/wiki/South_Asia
Sri Lankan Civil War,https://en.wikipedia.org/wiki/Sri_Lankan_civil_war
Port of Colombo,https://en.wikipedia.org/wiki/Port_of_Colombo
Lonely Planet,https://en.wikipedia.org/wiki/Lonely_Planet
Travel+Leisure,https://en.wikipedia.org/wiki/Travel%2BLeisure
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
Sri Lankan Government,https://en.wikipedia.org/wiki/Government_of_Sri_Lanka
the worst economic crisis in the country in 73 years,https://en.wikipedia.org/wiki/Sri_Lankan_economic_crisis_(2019%E2%80%93Present)
irrigation reservoirs,https://en.wikipedia.org/wiki/Sri_Lankan_irrigation_network
Faxian,https://en.wikipedia.org/wiki/Faxian
Indo-Aryan settlement,https://en.wikipedia.org/wiki/Sinhalese_people
nagas,https://en.wikipedia.org/wiki/Naga_people_(Lanka)
Cosmas Indicopleustes,https://en.wikipedia.org/wiki/Cosmas_Indicopleustes
Alexandria,https://en.wikipedia.org/wiki/Alexandria
Bretton Woods system,https://en.wikipedia.org/wiki/Bretton_Woods_system
Sterling Crisis,https://en.wikipedia.org/wiki/Devaluation
collapse of the Bretton Woods system,https://en.wikipedia.org/wiki/Nixon_shock
Saman Kelegama,https://en.wikipedia.org/wiki/Saman_Kelegama
JVP insurrection,https://en.wikipedia.org/wiki/1971_JVP_Insurrection_(Sri_Lanka)
civil war,https://en.wikipedia.org/wiki/Sri_Lankan_civil_war
UNP,https://en.wikipedia.org/wiki/United_National_Party
J.R Jayawardana,https://en.wikipedia.org/wiki/Junius_R._Jayewardene
socialist,https://en.wikipedia.org/wiki/Socialist
currency crisis,https://en.wikipedia.org/wiki/Currency_crisis
UPFA,https://en.wikipedia.org/wiki/UPFA
civil war,https://en.wikipedia.org/wiki/Sri_Lankan_civil_war
Janatha Vimukthi Peramuna,https://en.wikipedia.org/wiki/Janatha_Vimukthi_Peramuna
privatization,https://en.wikipedia.org/wiki/Privatization
government,https://en.wikipedia.org/wiki/Government
United States,https://en.wikipedia.org/wiki/United_States
United National Party,https://en.wikipedia.org/wiki/United_National_Party
Sri Lanka Freedom Party,https://en.wikipedia.org/wiki/Sri_Lanka_Freedom_Party
interest rates,https://en.wikipedia.org/wiki/Interest_rate
tourist arrivals,https://en.wikipedia.org/wiki/Tourism
service sector,https://en.wikipedia.org/wiki/Service_sector
agricultural sector,https://en.wikipedia.org/wiki/Agricultural_sector
Mahinda Rajapakse,https://en.wikipedia.org/wiki/Mahinda_Rajapaksa
EU,https://en.wikipedia.org/wiki/European_Union
GSP,https://en.wikipedia.org/wiki/Generalized_System_of_Preferences
Government of Sri Lanka,https://en.wikipedia.org/wiki/Government_of_Sri_Lanka
LTTE,https://en.wikipedia.org/wiki/LTTE
Ranil Wickremesinghe,https://en.wikipedia.org/wiki/Ranil_Wickremesinghe
Western Region Megapolis,https://en.wikipedia.org/wiki/Western_Region_Megapolis
Megapolis,https://en.wikipedia.org/wiki/Megalopolis_(city_type)
tourism,https://en.wikipedia.org/wiki/Tourism
tea export,https://en.wikipedia.org/wiki/Tea_Industry_of_Sri_Lanka
apparel,https://en.wikipedia.org/wiki/Apparel_industry
textile,https://en.wikipedia.org/wiki/Apparel_industry_of_Sri_Lanka
rice production,https://en.wikipedia.org/wiki/Rice
agricultural products,https://en.wikipedia.org/wiki/Agriculture_in_Sri_Lanka
Inverted yield curve,https://en.wikipedia.org/wiki/Inverted_yield_curve
USD,https://en.wikipedia.org/wiki/United_States_dollar
Sri Lankan Rupee,https://en.wikipedia.org/wiki/Sri_Lankan_rupee
exchange rate,https://en.wikipedia.org/wiki/Exchange_rate
economic crisis,https://en.wikipedia.org/wiki/2019%E2%80%93present_Sri_Lankan_economic_crisis
sovereign default,https://en.wikipedia.org/wiki/Sri_Lanka_sovereign_default
Ranil Wickremesinghe,https://en.wikipedia.org/wiki/Ranil_Wickremesinghe
United States,https://en.wikipedia.org/wiki/United_States
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
India,https://en.wikipedia.org/wiki/India
Germany,https://en.wikipedia.org/wiki/Germany
Italy,https://en.wikipedia.org/wiki/Italy
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Belgium,https://en.wikipedia.org/wiki/Belgium
China,https://en.wikipedia.org/wiki/China
Canada,https://en.wikipedia.org/wiki/Canada
Japan,https://en.wikipedia.org/wiki/Japan
GDP,https://en.wikipedia.org/wiki/GDP
Marshall–Lerner condition,https://en.wikipedia.org/wiki/Marshall%E2%80%93Lerner_condition
Marshall–Lerner condition,https://en.wikipedia.org/wiki/Marshall%E2%80%93Lerner_condition
Foreign direct investments,https://en.wikipedia.org/wiki/Foreign_direct_investment
Central Bank of Sri Lanka,https://en.wikipedia.org/wiki/Central_Bank_of_Sri_Lanka
monetary authority,https://en.wikipedia.org/wiki/Monetary_authority
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
monetary policy,https://en.wikipedia.org/wiki/Monetary_policy
financial system,https://en.wikipedia.org/wiki/Financial_system
Colombo Stock Exchange,https://en.wikipedia.org/wiki/Colombo_Stock_Exchange
