text,url
aluminium oxide,https://en.wikipedia.org/wiki/Aluminium_oxide
aluminium,https://en.wikipedia.org/wiki/Aluminium
bauxite,https://en.wikipedia.org/wiki/Bauxite
Alcoa,https://en.wikipedia.org/wiki/Alcoa
crude oil,https://en.wikipedia.org/wiki/Petroleum
gold,https://en.wikipedia.org/wiki/Gold
Suriname,https://en.wikipedia.org/wiki/Suriname
CARICOM,https://en.wikipedia.org/wiki/CARICOM
rice,https://en.wikipedia.org/wiki/Rice
shrimp,https://en.wikipedia.org/wiki/Shrimp
timber,https://en.wikipedia.org/wiki/Timber
bananas,https://en.wikipedia.org/wiki/Banana
fruits,https://en.wikipedia.org/wiki/Fruit
vegetables,https://en.wikipedia.org/wiki/Vegetable
Coca-Cola,https://en.wikipedia.org/wiki/Coca-Cola
coconuts,https://en.wikipedia.org/wiki/Coconut
peanuts,https://en.wikipedia.org/wiki/Peanut
beef,https://en.wikipedia.org/wiki/Beef
chickens,https://en.wikipedia.org/wiki/Chicken
shrimp,https://en.wikipedia.org/wiki/Shrimp
rice,https://en.wikipedia.org/wiki/Rice
sugar cane,https://en.wikipedia.org/wiki/Sugar_cane
banana,https://en.wikipedia.org/wiki/Banana
orange,https://en.wikipedia.org/wiki/Orange_(fruit)
coconut,https://en.wikipedia.org/wiki/Coconut
hardwood,https://en.wikipedia.org/wiki/Hardwood
Maroon,https://en.wikipedia.org/wiki/Maroon_(people)
human rights,https://en.wikipedia.org/wiki/Human_rights
plantains,https://en.wikipedia.org/wiki/Plantain_(cooking)
Surinamese dollar,https://en.wikipedia.org/wiki/Surinamese_dollar
aluminium oxide,https://en.wikipedia.org/wiki/Aluminium_oxide
aluminium,https://en.wikipedia.org/wiki/Aluminium
bauxite,https://en.wikipedia.org/wiki/Bauxite
aluminium,https://en.wikipedia.org/wiki/Aluminium
smelter,https://en.wikipedia.org/wiki/Smelter
Paranam,https://en.wikipedia.org/wiki/Paranam
STAATSOLIE,https://en.wikipedia.org/wiki/Staatsolie_Maatschappij_Suriname
civil servant,https://en.wikipedia.org/wiki/Civil_servant
Central Bank of Suriname,https://en.wikipedia.org/wiki/Central_Bank_of_Suriname
exchange rate,https://en.wikipedia.org/wiki/Exchange_rate
Surinamese guilder,https://en.wikipedia.org/wiki/Surinamese_guilder
Surinamese dollar,https://en.wikipedia.org/wiki/Surinamese_dollar
Surinamese gulden,https://en.wikipedia.org/wiki/Surinamese_gulden
Central Bank of Suriname,https://en.wikipedia.org/wiki/Central_Bank_of_Suriname
black market,https://en.wikipedia.org/wiki/Black_market
Lazard,https://en.wikipedia.org/wiki/Lazard_Freres
Suriname Stock Exchange,https://en.wikipedia.org/wiki/Suriname_Stock_Exchange
stock exchange,https://en.wikipedia.org/wiki/Stock_exchange
U.S. President Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump
Suriname-Netherlands Chamber,https://en.wikipedia.org/wiki/Suriname-Netherlands_Chamber_of_Commerce
embassy of Suriname in The Hague,"https://en.wikipedia.org/wiki/Embassy_of_Suriname,_The_Hague"
Chamber of Commerce and Factories,https://en.wikipedia.org/wiki/Chamber_of_Commerce_and_Factories
Paramaribo,https://en.wikipedia.org/wiki/Paramaribo
Suriname-Netherlands Chamber of Commerce,https://en.wikipedia.org/wiki/Suriname-Netherlands_Chamber_of_Commerce
embassy of Suriname in The Hague,"https://en.wikipedia.org/wiki/Embassy_of_Suriname,_The_Hague"
Suriname-Guyana Chamber of Commerce,https://en.wikipedia.org/wiki/Suriname-Guyana_Chamber_of_Commerce
Suriname-India Chamber of Commerce and Industry,https://en.wikipedia.org/wiki/Suriname-India_Chamber_of_Commerce_and_Industry
Ghana-Suriname Chamber of Commerce,https://en.wikipedia.org/wiki/Ghana-Suriname_Chamber_of_Commerce
government of Suriname,https://en.wikipedia.org/wiki/Government_of_Suriname
Suriname Investment and Trade Agency,https://en.wikipedia.org/wiki/Suriname_Investment_and_Trade_Agency
Economy of South America,https://en.wikipedia.org/wiki/Economy_of_South_America
Ministry of Finance (Suriname),https://en.wikipedia.org/wiki/Ministry_of_Finance_(Suriname)
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
public domain,https://en.wikipedia.org/wiki/Public_domain
Simon Romero,https://en.wikipedia.org/wiki/Simon_Romero
