text,url
export-oriented economy,https://en.wikipedia.org/wiki/Trading_nation
hydropower,https://en.wikipedia.org/wiki/Hydropower
iron ore,https://en.wikipedia.org/wiki/Iron_ore
motor vehicles,https://en.wikipedia.org/wiki/Motor_vehicle
telecommunications,https://en.wikipedia.org/wiki/Telecommunication
pharmaceuticals,https://en.wikipedia.org/wiki/Pharmaceutical_drug
forestry,https://en.wikipedia.org/wiki/Forestry
Sweden,https://en.wikipedia.org/wiki/Sweden
agricultural economy,https://en.wikipedia.org/wiki/Agricultural_economy
Ericsson,https://en.wikipedia.org/wiki/Ericsson
ASEA,https://en.wikipedia.org/wiki/Allm%C3%A4nna_Svenska_Elektriska_Aktiebolaget
ABB,https://en.wikipedia.org/wiki/ABB_Group
SKF,https://en.wikipedia.org/wiki/SKF
Alfa Laval,https://en.wikipedia.org/wiki/Alfa_Laval
AGA,https://en.wikipedia.org/wiki/AGA_AB
Dyno Nobel,https://en.wikipedia.org/wiki/Dyno_Nobel
mixed economy,https://en.wikipedia.org/wiki/Mixed_economy
privately owned,https://en.wikipedia.org/wiki/Private_ownership
welfare state,https://en.wikipedia.org/wiki/Welfare_state
neutral powers during World War II,https://en.wikipedia.org/wiki/Neutral_powers_during_World_War_II
standard of living,https://en.wikipedia.org/wiki/Standard_of_living
high-tech,https://en.wikipedia.org/wiki/High-tech
total tax revenue,https://en.wikipedia.org/wiki/List_of_countries_by_tax_rates
European Union,https://en.wikipedia.org/wiki/European_Union
Baltic states,https://en.wikipedia.org/wiki/Baltic_states
Poland,https://en.wikipedia.org/wiki/Poland
Slovakia,https://en.wikipedia.org/wiki/Slovakia
agricultural economy,https://en.wikipedia.org/wiki/Agricultural_economy
Swedish Riksdag,https://en.wikipedia.org/wiki/Riksdag
Age of Liberty,https://en.wikipedia.org/wiki/Age_of_Liberty
Life,https://en.wikipedia.org/wiki/Life_magazine
magazine,https://en.wikipedia.org/wiki/Life_magazine
purchasing power parity,https://en.wikipedia.org/wiki/Purchasing_power_parity
World War II,https://en.wikipedia.org/wiki/World_War_II
Computer Sweden,https://en.wikipedia.org/wiki/Computer_Sweden
currency,https://en.wikipedia.org/wiki/Swedish_Krona
central bank,https://en.wikipedia.org/wiki/Riksbank
United States Federal Reserve,https://en.wikipedia.org/wiki/Federal_Reserve_System
government budget deficit,https://en.wikipedia.org/wiki/Government_budget_deficit
iron ore,https://en.wikipedia.org/wiki/Iron_ore
pyrite,https://en.wikipedia.org/wiki/Pyrite
copper,https://en.wikipedia.org/wiki/Copper
zinc,https://en.wikipedia.org/wiki/Zinc
arsenic,https://en.wikipedia.org/wiki/Arsenic
silver,https://en.wikipedia.org/wiki/Silver
gold,https://en.wikipedia.org/wiki/Gold
lead,https://en.wikipedia.org/wiki/Lead
uranium,https://en.wikipedia.org/wiki/Uranium
coal,https://en.wikipedia.org/wiki/Coal
oil shale,https://en.wikipedia.org/wiki/Oil_shale
mixed economy,https://en.wikipedia.org/wiki/Mixed_economy
labor force,https://en.wikipedia.org/wiki/Workforce
hydropower,https://en.wikipedia.org/wiki/Hydropower
foreign trade,https://en.wikipedia.org/wiki/Foreign_trade
Volvo,https://en.wikipedia.org/wiki/Volvo
Ericsson,https://en.wikipedia.org/wiki/Ericsson
Vattenfall,https://en.wikipedia.org/wiki/Vattenfall
Skanska,https://en.wikipedia.org/wiki/Skanska
Hennes & Mauritz,https://en.wikipedia.org/wiki/Hennes_%26_Mauritz
Electrolux,https://en.wikipedia.org/wiki/Electrolux
Volvo Personvagnar,https://en.wikipedia.org/wiki/Volvo_Personvagnar
Preem,https://en.wikipedia.org/wiki/Preem
TeliaSonera,https://en.wikipedia.org/wiki/TeliaSonera
Sandvik,https://en.wikipedia.org/wiki/Sandvik
ICA,https://en.wikipedia.org/wiki/ICA_AB
Atlas Copco,https://en.wikipedia.org/wiki/Atlas_Copco
