text,url
Switzerland,https://en.wikipedia.org/wiki/Switzerland
highly-developed,https://en.wikipedia.org/wiki/Developed_country
free market economy,https://en.wikipedia.org/wiki/Free_market_economy
Global Innovation Index,https://en.wikipedia.org/wiki/Global_Innovation_Index
Global Competitiveness Report,https://en.wikipedia.org/wiki/Global_Competitiveness_Report
United Nations,https://en.wikipedia.org/wiki/United_Nations
Switzerland,https://en.wikipedia.org/wiki/Switzerland
landlocked country,https://en.wikipedia.org/wiki/Landlocked_country
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Norway,https://en.wikipedia.org/wiki/Norway
GDP per capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita
island nations,https://en.wikipedia.org/wiki/Island_nations
ministates,https://en.wikipedia.org/wiki/Ministate
OECD,https://en.wikipedia.org/wiki/OECD
social security system,https://en.wikipedia.org/wiki/Public_Welfare_Policy_in_Switzerland
roughly 24.1% of GDP,https://en.wikipedia.org/wiki/Welfare_state#Effects
Gotthard line,https://en.wikipedia.org/wiki/Gotthard_Rail_Tunnel
Switzerland as a federal state,https://en.wikipedia.org/wiki/Switzerland_as_a_federal_state
Zürich,https://en.wikipedia.org/wiki/Z%C3%BCrich
Geneva,https://en.wikipedia.org/wiki/Geneva
Basel,https://en.wikipedia.org/wiki/Basel
workshop system,https://en.wikipedia.org/wiki/Putting-out_system
early modern period,https://en.wikipedia.org/wiki/Early_modern_Switzerland
St. Gallen,https://en.wikipedia.org/wiki/St._Gallen
hydraulic power,https://en.wikipedia.org/wiki/Hydropower
mountainous topography,https://en.wikipedia.org/wiki/Swiss_Alps
power loom,https://en.wikipedia.org/wiki/Power_loom
tourism,https://en.wikipedia.org/wiki/Tourism_in_Switzerland
banking,https://en.wikipedia.org/wiki/Banking_in_Switzerland
Baden,"https://en.wikipedia.org/wiki/Baden,_Switzerland"
laissez-faire,https://en.wikipedia.org/wiki/Laissez-faire
Switzerland during the World Wars,https://en.wikipedia.org/wiki/Switzerland_during_the_World_Wars
Switzerland's energy consumption,https://en.wikipedia.org/wiki/Energy_in_Switzerland
international isolation,https://en.wikipedia.org/wiki/International_isolation
1979 energy crisis,https://en.wikipedia.org/wiki/1979_energy_crisis
Western Europe,https://en.wikipedia.org/wiki/Western_Europe
purchasing power parity,https://en.wikipedia.org/wiki/Purchasing_power_parity
Norway,https://en.wikipedia.org/wiki/Norway
list,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)_per_capita
early 2000s recession,https://en.wikipedia.org/wiki/Early_2000s_recession
United States,https://en.wikipedia.org/wiki/United_States
labour market,https://en.wikipedia.org/wiki/Labour_market
European Union,https://en.wikipedia.org/wiki/European_Union
Euro,https://en.wikipedia.org/wiki/Euro
Swiss Franc,https://en.wikipedia.org/wiki/Swiss_franc
exchange rate,https://en.wikipedia.org/wiki/Exchange_rate
Swiss National Bank,https://en.wikipedia.org/wiki/Swiss_National_Bank
current account balance,https://en.wikipedia.org/wiki/Current_account_(balance_of_payments)
CHF,https://en.wikipedia.org/wiki/Swiss_franc
developed country,https://en.wikipedia.org/wiki/Developed_country
primary or agricultural sector,https://en.wikipedia.org/wiki/Primary_sector_of_the_economy
secondary or manufacturing sector,https://en.wikipedia.org/wiki/Secondary_sector_of_the_economy
tertiary or services sector,https://en.wikipedia.org/wiki/Tertiary_sector_of_the_economy
European Union,https://en.wikipedia.org/wiki/European_Union
trade protectionism,https://en.wikipedia.org/wiki/Trade_protectionism
Rolex,https://en.wikipedia.org/wiki/Rolex
Patek Philippe,https://en.wikipedia.org/wiki/Patek_Philippe
Swatch,https://en.wikipedia.org/wiki/Swatch
Richemont,https://en.wikipedia.org/wiki/Richemont
Nestlé,https://en.wikipedia.org/wiki/Nestl%C3%A9
ABB,https://en.wikipedia.org/wiki/ABB
Bobst SA,https://en.wikipedia.org/wiki/Bobst_SA
Stadler Rail,https://en.wikipedia.org/wiki/Stadler_Rail
Sika AG,https://en.wikipedia.org/wiki/Sika_AG
Ruag,https://en.wikipedia.org/wiki/Ruag
Novartis,https://en.wikipedia.org/wiki/Novartis
Roche,https://en.wikipedia.org/wiki/Hoffmann-La_Roche
Emmentaler,https://en.wikipedia.org/wiki/Emmentaler
AOP,https://en.wikipedia.org/wiki/Appellation_d%27origine_prot%C3%A9g%C3%A9e_(Switzerland)
Cheeses and dairy,https://en.wikipedia.org/wiki/Swiss_cheeses_and_dairy_products
Wine is another,https://en.wikipedia.org/wiki/Swiss_wine
Organisation for Economic Co-operation and Development,https://en.wikipedia.org/wiki/Organisation_for_Economic_Co-operation_and_Development
CIA World Factbook,https://en.wikipedia.org/wiki/The_World_Factbook
SITC,https://en.wikipedia.org/wiki/Standard_International_Trade_Classification
medicaments,https://en.wikipedia.org/wiki/Medicaments
heterocyclic compounds,https://en.wikipedia.org/wiki/Heterocyclic_compound
Zermatt,https://en.wikipedia.org/wiki/Zermatt
mountainous regions,https://en.wikipedia.org/wiki/Swiss_Alps
Grisons,https://en.wikipedia.org/wiki/Grisons
Valais,https://en.wikipedia.org/wiki/Valais
Eastern Switzerland,https://en.wikipedia.org/wiki/Eastern_Switzerland
Central Switzerland,https://en.wikipedia.org/wiki/Central_Switzerland
Bernese Oberland,https://en.wikipedia.org/wiki/Bernese_Oberland
CHF,https://en.wikipedia.org/wiki/Swiss_franc
gross value added,https://en.wikipedia.org/wiki/Gross_value_added
full time equivalent,https://en.wikipedia.org/wiki/Full_time_equivalent
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
Bank for International Settlements,https://en.wikipedia.org/wiki/Bank_for_International_Settlements
Swiss neutrality,https://en.wikipedia.org/wiki/Swiss_neutrality
national sovereignty,https://en.wikipedia.org/wiki/National_sovereignty
World Wars,https://en.wikipedia.org/wiki/World_War
European Union,https://en.wikipedia.org/wiki/European_Union
United Nations,https://en.wikipedia.org/wiki/United_Nations
offshore,https://en.wikipedia.org/wiki/Offshore_bank
UBS,https://en.wikipedia.org/wiki/UBS
Credit Suisse,https://en.wikipedia.org/wiki/Credit_Suisse
Julius Baer,https://en.wikipedia.org/wiki/Julius_Baer
Swiss Re,https://en.wikipedia.org/wiki/Swiss_Re
Zurich Insurance,https://en.wikipedia.org/wiki/Zurich_Insurance
Pictet Group,https://en.wikipedia.org/wiki/Pictet_Group
Lombard Odier,https://en.wikipedia.org/wiki/Bank_Lombard_Odier_%26_Co
Union Bancaire Privée,https://en.wikipedia.org/wiki/Union_Bancaire_Priv%C3%A9e
Cargill,https://en.wikipedia.org/wiki/Cargill
Mediterranean Shipping Company,https://en.wikipedia.org/wiki/Mediterranean_Shipping_Company
Louis Dreyfus Company,https://en.wikipedia.org/wiki/Louis_Dreyfus_Company
Mercuria Energy Group,https://en.wikipedia.org/wiki/Mercuria_Energy_Group
Trafigura,https://en.wikipedia.org/wiki/Trafigura
Bank of International Settlements,https://en.wikipedia.org/wiki/Bank_of_International_Settlements
central banks,https://en.wikipedia.org/wiki/Central_bank
Basel,https://en.wikipedia.org/wiki/Basel
World War I,https://en.wikipedia.org/wiki/World_War_I
Credit Suisse,https://en.wikipedia.org/wiki/Credit_Suisse
UBS,https://en.wikipedia.org/wiki/UBS
Swiss National Bank,https://en.wikipedia.org/wiki/Swiss_National_Bank
Swiss banks,https://en.wikipedia.org/wiki/List_of_banks_in_Switzerland
safe havens,https://en.wikipedia.org/wiki/Tax_haven
dictators,https://en.wikipedia.org/wiki/Dictator
despots,https://en.wikipedia.org/wiki/Despotism
mobsters,https://en.wikipedia.org/wiki/Mobster
arms dealers,https://en.wikipedia.org/wiki/Arms_dealer
corrupt officials,https://en.wikipedia.org/wiki/Political_corruption
tax cheats,https://en.wikipedia.org/wiki/Tax_evasion
commodities trading,https://en.wikipedia.org/wiki/Commodities_trading
financially,https://en.wikipedia.org/wiki/Financial_trading
Lake Geneva,https://en.wikipedia.org/wiki/Lake_Geneva
Zug,https://en.wikipedia.org/wiki/Zug
Lugano,https://en.wikipedia.org/wiki/Lugano
Glencore,https://en.wikipedia.org/wiki/Glencore
Mercuria,https://en.wikipedia.org/wiki/Mercuria
Gunvor,https://en.wikipedia.org/wiki/Gunvor
Vitol,https://en.wikipedia.org/wiki/Vitol
Trafigura,https://en.wikipedia.org/wiki/Trafigura
gold trading,https://en.wikipedia.org/wiki/Gold_trading
Valcambi,https://en.wikipedia.org/wiki/Valcambi
PAMP,https://en.wikipedia.org/wiki/PAMP_(company)
MKS,https://en.wikipedia.org/wiki/MKS_(Switzerland)
Argor-Heraeus,https://en.wikipedia.org/wiki/Heraeus
Metalor,https://en.wikipedia.org/wiki/M%C3%A9taux_Pr%C3%A9cieux_SA_M%C3%A9talor
ADM,https://en.wikipedia.org/wiki/ADM_(company)
Bunge,https://en.wikipedia.org/wiki/Bunge_Limited
Cargill,https://en.wikipedia.org/wiki/Cargill
Cofco,https://en.wikipedia.org/wiki/COFCO_Group
Louis Dreyfus,https://en.wikipedia.org/wiki/Louis_Dreyfus_Company
MSC,https://en.wikipedia.org/wiki/Mediterranean_Shipping_Company
Kühne + Nagel and Danzas,https://en.wikipedia.org/wiki/Kuehne_%2B_Nagel
quality control,https://en.wikipedia.org/wiki/Quality_control
SGS S.A.,https://en.wikipedia.org/wiki/SGS_S.A.
be involved in corruption,https://en.wikipedia.org/wiki/Corruption_in_Switzerland#Business
exploitation,https://en.wikipedia.org/wiki/Exploitation_colonialism
skilled,https://en.wikipedia.org/wiki/Skilled
unionised,https://en.wikipedia.org/wiki/Trade_unions_in_Switzerland
Fédération des Entreprises Romandes Genève,https://en.wikipedia.org/wiki/F%C3%A9d%C3%A9ration_des_Entreprises_Romandes_Gen%C3%A8ve
Swiss franc,https://en.wikipedia.org/wiki/Swiss_franc
Swiss International Air Lines,https://en.wikipedia.org/wiki/Swiss_International_Air_Lines
Coca-Cola,https://en.wikipedia.org/wiki/The_Coca-Cola_Company
Orange,https://en.wikipedia.org/wiki/Orange_S.A.
CHF,https://en.wikipedia.org/wiki/Swiss_franc
$,https://en.wikipedia.org/wiki/USD
net worth,https://en.wikipedia.org/wiki/Net_worth
US Dollar,https://en.wikipedia.org/wiki/United_States_dollar
Swiss Franc,https://en.wikipedia.org/wiki/Swiss_franc
US Dollar,https://en.wikipedia.org/wiki/US_Dollar
Swiss franc,https://en.wikipedia.org/wiki/Swiss_franc
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
purchasing power,https://en.wikipedia.org/wiki/Purchasing_power
median,https://en.wikipedia.org/wiki/Median
The Statistical Office,https://en.wikipedia.org/wiki/Federal_Statistical_Office_(Switzerland)
cost of living,https://en.wikipedia.org/wiki/Cost_of_living
the national poverty line,https://en.wikipedia.org/wiki/Poverty_in_Switzerland
several anti-money laundering procedures,https://en.wikipedia.org/wiki/Crime_in_Switzerland#Money_laundering
al-Qaeda,https://en.wikipedia.org/wiki/Al-Qaeda
European Economic Area,https://en.wikipedia.org/wiki/European_Economic_Area
United Nations,https://en.wikipedia.org/wiki/United_Nations
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
Organisation for Economic Co-operation and Development,https://en.wikipedia.org/wiki/Organisation_for_Economic_Co-operation_and_Development
National income,https://en.wikipedia.org/wiki/Gross_national_income
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Zurich,https://en.wikipedia.org/wiki/Canton_of_Z%C3%BCrich
Berne,https://en.wikipedia.org/wiki/Canton_of_Bern
Lucerne,https://en.wikipedia.org/wiki/Canton_of_Lucerne
Uri,https://en.wikipedia.org/wiki/Canton_of_Uri
Schwyz,https://en.wikipedia.org/wiki/Canton_of_Schwyz
Obwald,https://en.wikipedia.org/wiki/Canton_of_Obwalden
Nidwald,https://en.wikipedia.org/wiki/Canton_of_Nidwalden
Glaris,https://en.wikipedia.org/wiki/Canton_of_Glarus
Zoug,https://en.wikipedia.org/wiki/Canton_of_Zug
Friburg,https://en.wikipedia.org/wiki/Canton_of_Fribourg
Soleure,https://en.wikipedia.org/wiki/Canton_of_Solothurn
Basle-City,https://en.wikipedia.org/wiki/Canton_of_Basel-Stadt
Basle-Country,https://en.wikipedia.org/wiki/Canton_of_Basel-Landschaft
Schaffhouse,https://en.wikipedia.org/wiki/Canton_of_Schaffhausen
Appenzell Outer-Rhodes,https://en.wikipedia.org/wiki/Canton_of_Appenzell_Ausserrhoden
Appenzell Inner-Rhodes,https://en.wikipedia.org/wiki/Canton_of_Appenzell_Innerrhoden
St Gall,https://en.wikipedia.org/wiki/Canton_of_St._Gallen
Grisons,https://en.wikipedia.org/wiki/Canton_of_Grisons
Argovia,https://en.wikipedia.org/wiki/Canton_of_Aargau
Thurgovia,https://en.wikipedia.org/wiki/Canton_of_Thurgau
Tessin,https://en.wikipedia.org/wiki/Canton_of_Ticino
Vaud,https://en.wikipedia.org/wiki/Canton_of_Vaud
Valais,https://en.wikipedia.org/wiki/Canton_of_Valais
Neuchâtel,https://en.wikipedia.org/wiki/Canton_of_Neuch%C3%A2tel
Geneva,https://en.wikipedia.org/wiki/Canton_of_Geneva
Jura,https://en.wikipedia.org/wiki/Canton_of_Jura
Cantons of Switzerland,https://en.wikipedia.org/wiki/Cantons_of_Switzerland
List of Swiss cantons by GDP,https://en.wikipedia.org/wiki/List_of_Swiss_cantons_by_GDP
Healthcare in Switzerland,https://en.wikipedia.org/wiki/Healthcare_in_Switzerland
List of companies of Switzerland,https://en.wikipedia.org/wiki/List_of_companies_of_Switzerland
List of Swiss companies by revenue,https://en.wikipedia.org/wiki/List_of_Swiss_companies_by_revenue
Pharmaceutical industry in Switzerland,https://en.wikipedia.org/wiki/Pharmaceutical_industry_in_Switzerland
Federation of the Swiss Watch Industry FH,https://en.wikipedia.org/wiki/Federation_of_the_Swiss_Watch_Industry_FH
Science and technology in Switzerland,https://en.wikipedia.org/wiki/Science_and_technology_in_Switzerland
Swiss labour law,https://en.wikipedia.org/wiki/Swiss_labour_law
Taxation in Switzerland,https://en.wikipedia.org/wiki/Taxation_in_Switzerland
Transport in Switzerland,https://en.wikipedia.org/wiki/Transport_in_Switzerland
Rail transport in Switzerland,https://en.wikipedia.org/wiki/Rail_transport_in_Switzerland
Merchant Marine of Switzerland,https://en.wikipedia.org/wiki/Merchant_Marine_of_Switzerland
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
The World Factbook,https://en.wikipedia.org/wiki/The_World_Factbook
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
Eurostat,https://en.wikipedia.org/wiki/Eurostat
Eurostat,https://en.wikipedia.org/wiki/Eurostat
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
UNDP,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
Transparency International,https://en.wikipedia.org/wiki/Transparency_International
World Bank,https://en.wikipedia.org/wiki/World_Bank
Eurostat,https://en.wikipedia.org/wiki/Eurostat
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
United Nations Statistics Division,https://en.wikipedia.org/wiki/United_Nations_Statistics_Division
Organisation for Economic Co-operation and Development,https://en.wikipedia.org/wiki/Organisation_for_Economic_Co-operation_and_Development
The World Factbook,https://en.wikipedia.org/wiki/The_World_Factbook
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Swiss Bankers Association,https://en.wikipedia.org/wiki/Swiss_Bankers_Association
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
60 Minutes,https://en.wikipedia.org/wiki/60_Minutes
CBS,https://en.wikipedia.org/wiki/CBS
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Federal Statistical Office (Switzerland),https://en.wikipedia.org/wiki/Federal_Statistical_Office_(Switzerland)
The Guardian,https://en.wikipedia.org/wiki/The_Guardian
Tages Anzeiger,https://en.wikipedia.org/wiki/Tages_Anzeiger
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
