text,url
Syrian civil war,https://en.wikipedia.org/wiki/Syrian_civil_war
First Syrian Republic,https://en.wikipedia.org/wiki/First_Syrian_Republic
Allied forces,https://en.wikipedia.org/wiki/Allies_of_World_War_II
World War II,https://en.wikipedia.org/wiki/World_War_II
land tenure,https://en.wikipedia.org/wiki/Land_tenure
sharecropping,https://en.wikipedia.org/wiki/Sharecropping
Syria's union with Egypt,https://en.wikipedia.org/wiki/United_Arab_Republic
Baath Party,https://en.wikipedia.org/wiki/Ba%27ath_Party
land reform,https://en.wikipedia.org/wiki/Land_reform
nationalization,https://en.wikipedia.org/wiki/Nationalization
socialist,https://en.wikipedia.org/wiki/Socialism
centralized planning,https://en.wikipedia.org/wiki/Planned_economy
dramatic rise of world oil prices,https://en.wikipedia.org/wiki/1973_oil_crisis
refineries,https://en.wikipedia.org/wiki/Oil_refinery
economic liberalization,https://en.wikipedia.org/wiki/Economic_liberalization
remittances,https://en.wikipedia.org/wiki/Remittance
foreign aid,https://en.wikipedia.org/wiki/Aid
Arab-Israeli conflict,https://en.wikipedia.org/wiki/Arab%E2%80%93Israeli_conflict
Soviet,https://en.wikipedia.org/wiki/Soviet_Union
Iran-Iraq War,https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War
Bashar al-Assad,https://en.wikipedia.org/wiki/Bashar_al-Assad
neoliberal,https://en.wikipedia.org/wiki/Neoliberalism
GDP,https://en.wikipedia.org/wiki/GDP
drought,https://en.wikipedia.org/wiki/Drought
economic sanctions,https://en.wikipedia.org/wiki/Sanctions_against_Syria
Arab League,https://en.wikipedia.org/wiki/Arab_League
Australia,https://en.wikipedia.org/wiki/Australia
Canada,https://en.wikipedia.org/wiki/Canada
European Union,https://en.wikipedia.org/wiki/European_Union
Albania,https://en.wikipedia.org/wiki/Albania
Iceland,https://en.wikipedia.org/wiki/Iceland
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
Moldova,https://en.wikipedia.org/wiki/Moldova
Montenegro,https://en.wikipedia.org/wiki/Montenegro
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Norway,https://en.wikipedia.org/wiki/Norway
Serbia,https://en.wikipedia.org/wiki/Serbia
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Japan,https://en.wikipedia.org/wiki/Japan
South Korea,https://en.wikipedia.org/wiki/South_Korea
Taiwan,https://en.wikipedia.org/wiki/Taiwan
Turkey,https://en.wikipedia.org/wiki/Turkey
Caesar Syria Civilian Protection Act,https://en.wikipedia.org/wiki/Caesar_Syria_Civilian_Protection_Act
hyperinflation,https://en.wikipedia.org/wiki/Hyperinflation
Syrian pound,https://en.wikipedia.org/wiki/Syrian_pound
Belt and Road Initiative,https://en.wikipedia.org/wiki/Belt_and_Road_Initiative
Maysaa Sabreen,https://en.wikipedia.org/wiki/Maysaa_Sabreen
Basel Abdul Hannan,https://en.wikipedia.org/wiki/Basel_Abdul_Hannan
market liberalization,https://en.wikipedia.org/wiki/Economic_liberalization
free-market,https://en.wikipedia.org/wiki/Free_market
nationalized,https://en.wikipedia.org/wiki/Nationalisation
class,https://en.wikipedia.org/wiki/Social_class
private banking,https://en.wikipedia.org/wiki/Private_banking
stock market,https://en.wikipedia.org/wiki/Stock_market
heavy-grade oil,https://en.wikipedia.org/wiki/Heavy_crude_oil
northeast,https://en.wikipedia.org/wiki/Al-Hasakah_Governorate
light-grade,https://en.wikipedia.org/wiki/Light_crude_oil
low-sulphur oil,https://en.wikipedia.org/wiki/Sweet_crude_oil
Deir ez-Zor,https://en.wikipedia.org/wiki/Deir_ez-Zor
refineries,https://en.wikipedia.org/wiki/Oil_refinery
oil reserves,https://en.wikipedia.org/wiki/Oil_reserve
parallel exchange rate,https://en.wikipedia.org/wiki/Parallel_exchange_rate
World Bank,https://en.wikipedia.org/wiki/World_Bank
Syria,https://en.wikipedia.org/wiki/Syria
drought,https://en.wikipedia.org/wiki/Drought
trade routes,https://en.wikipedia.org/wiki/Trade_route
weaving,https://en.wikipedia.org/wiki/Weaving
heavy industry,https://en.wikipedia.org/wiki/Heavy_industry
global economy,https://en.wikipedia.org/wiki/Economic_globalization
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
General Agreement on Tariffs and Trade,https://en.wikipedia.org/wiki/General_Agreement_on_Tariffs_and_Trade
