text,url
cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
Gulf of Guinea,https://en.wikipedia.org/wiki/Gulf_of_Guinea
Portuguese,https://en.wikipedia.org/wiki/Portugal
Niger Delta province,https://en.wikipedia.org/wiki/Niger_Delta_province
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Portuguese,https://en.wikipedia.org/wiki/Portugal
IMF,https://en.wikipedia.org/wiki/IMF
Gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
purchasing power parity,https://en.wikipedia.org/wiki/Purchasing_power_parity
fish processing,https://en.wikipedia.org/wiki/Fish_processing
cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
coconuts,https://en.wikipedia.org/wiki/Coconut
copra,https://en.wikipedia.org/wiki/Copra
cinnamon,https://en.wikipedia.org/wiki/Cinnamon
pepper,https://en.wikipedia.org/wiki/Black_pepper
coffee,https://en.wikipedia.org/wiki/Coffee
bananas,https://en.wikipedia.org/wiki/Banana
papayas,https://en.wikipedia.org/wiki/Papaya
beans,https://en.wikipedia.org/wiki/Bean
poultry,https://en.wikipedia.org/wiki/Poultry
fish,https://en.wikipedia.org/wiki/Fish
cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
copra,https://en.wikipedia.org/wiki/Copra
coffee,https://en.wikipedia.org/wiki/Coffee
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Belgium,https://en.wikipedia.org/wiki/Belgium
Portugal,https://en.wikipedia.org/wiki/Portugal
Petroleum,https://en.wikipedia.org/wiki/Petroleum
Central Bank of São Tomé and Príncipe,https://en.wikipedia.org/wiki/Central_Bank_of_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Ministry of Finance and Planning (São Tomé and Príncipe),https://en.wikipedia.org/wiki/Ministry_of_Finance_and_Planning_(S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe)
Cuisine of São Tomé and Príncipe,https://en.wikipedia.org/wiki/Cuisine_of_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
