text,url
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
Thailand,https://en.wikipedia.org/wiki/Thailand
newly industrialized country,https://en.wikipedia.org/wiki/Newly_industrialized_country
baht,https://en.wikipedia.org/wiki/Thai_baht
inflation,https://en.wikipedia.org/wiki/Inflation
service sectors,https://en.wikipedia.org/wiki/Tertiary_sector_of_the_economy
agricultural sector,https://en.wikipedia.org/wiki/Agricultural_sector
trade in services,https://en.wikipedia.org/wiki/Trade_in_services
Southeast Asia,https://en.wikipedia.org/wiki/Southeast_Asia
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Singapore,https://en.wikipedia.org/wiki/Singapore
Brunei,https://en.wikipedia.org/wiki/Brunei
Malaysia,https://en.wikipedia.org/wiki/Malaysia
current account balance,https://en.wikipedia.org/wiki/List_of_countries_by_current_account_balance
Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
Office of the National Economic and Social Development Council,https://en.wikipedia.org/wiki/Office_of_the_National_Economic_and_Social_Development_Council
countries with the lowest unemployment rates,https://en.wikipedia.org/wiki/List_of_countries_by_unemployment_rate
Kingdom of Thailand,https://en.wikipedia.org/wiki/Kingdom_of_Thailand
FY2017,https://en.wikipedia.org/wiki/Fiscal_year
baht,https://en.wikipedia.org/wiki/Thai_baht
Siam,https://en.wikipedia.org/wiki/History_of_Thailand
pre-industrial,https://en.wikipedia.org/wiki/Pre-industrial_societies
merchants,https://en.wikipedia.org/wiki/Merchant
Ayutthaya,https://en.wikipedia.org/wiki/Ayutthaya_Kingdom
Bowring Treaty,https://en.wikipedia.org/wiki/Bowring_Treaty
Harris Treaty of 1856,https://en.wikipedia.org/wiki/Townsend_Harris#Harris_Treaty_of_1856_with_Siam
Roberts Treaty,https://en.wikipedia.org/wiki/Siamese-American_Treaty_of_Amity_and_Commerce
Rama V,https://en.wikipedia.org/wiki/Rama_V
Great Depression,https://en.wikipedia.org/wiki/Great_Depression
Siamese revolution of 1932,https://en.wikipedia.org/wiki/Siamese_revolution_of_1932
Luang Phibulsongkram,https://en.wikipedia.org/wiki/Plaek_Phibunsongkhram
Ammar Siamwalla,https://en.wikipedia.org/wiki/Ammar_Siamwalla
Phao Sriyanond,https://en.wikipedia.org/wiki/Phao_Sriyanond
Sarit Thanarat,https://en.wikipedia.org/wiki/Sarit_Thanarat
Phin Choonhavan,https://en.wikipedia.org/wiki/Phin_Choonhavan
Thailand Board of Investment,https://en.wikipedia.org/wiki/Thailand_Board_of_Investment
