text,url
Central African Republic,https://en.wikipedia.org/wiki/Central_African_Republic
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
Barbados,https://en.wikipedia.org/wiki/Barbados
per capita income,https://en.wikipedia.org/wiki/Per_capita_income
landlocked,https://en.wikipedia.org/wiki/Landlocked_country
subsistence farming,https://en.wikipedia.org/wiki/Subsistence_agriculture
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
cassava,https://en.wikipedia.org/wiki/Cassava
sorghum,https://en.wikipedia.org/wiki/Sorghum
millet,https://en.wikipedia.org/wiki/Millet
maize,https://en.wikipedia.org/wiki/Maize
sesame,https://en.wikipedia.org/wiki/Sesame
plantains,https://en.wikipedia.org/wiki/Plantain_(cooking)
cash crops,https://en.wikipedia.org/wiki/Cash_crop
Timber,https://en.wikipedia.org/wiki/Lumber
least developed country,https://en.wikipedia.org/wiki/Least_developed_countries
United Nations,https://en.wikipedia.org/wiki/United_Nations
Oubangui River,https://en.wikipedia.org/wiki/Oubangui_River
hydroelectric plants,https://en.wikipedia.org/wiki/Hydroelectric_plant
Boali,https://en.wikipedia.org/wiki/Boali
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Kinshasa,https://en.wikipedia.org/wiki/Kinshasa
Bangui,https://en.wikipedia.org/wiki/Bangui
timber,https://en.wikipedia.org/wiki/Lumber
logging,https://en.wikipedia.org/wiki/Logging
French,https://en.wikipedia.org/wiki/France
Lebanese,https://en.wikipedia.org/wiki/Lebanon
Chinese,https://en.wikipedia.org/wiki/China
Ministry of Finance,https://en.wikipedia.org/wiki/Minister_of_Finance_and_Budget_(Central_African_Republic)
Michel Djotodia,https://en.wikipedia.org/wiki/Michel_Djotodia
Séléka,https://en.wikipedia.org/wiki/S%C3%A9l%C3%A9ka
UN Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
Anti-balaka,https://en.wikipedia.org/wiki/Anti-balaka
CEMAC,https://en.wikipedia.org/wiki/CEMAC
Wagner Group,https://en.wikipedia.org/wiki/Wagner_Group
mercenaries,https://en.wikipedia.org/wiki/Mercenary
Saint Petersburg,https://en.wikipedia.org/wiki/Saint_Petersburg
Lobaye,https://en.wikipedia.org/wiki/Lobaye
revenue,https://en.wikipedia.org/wiki/Revenue
yams,https://en.wikipedia.org/wiki/Yam_(vegetable)
cassava,https://en.wikipedia.org/wiki/Cassava
peanuts,https://en.wikipedia.org/wiki/Peanut
maize,https://en.wikipedia.org/wiki/Maize
sorghum,https://en.wikipedia.org/wiki/Sorghum
millet,https://en.wikipedia.org/wiki/Millet
sesame,https://en.wikipedia.org/wiki/Sesame
plantains,https://en.wikipedia.org/wiki/Plantain_(cooking)
cash crops,https://en.wikipedia.org/wiki/Cash_crop
cotton,https://en.wikipedia.org/wiki/Cotton
