text,url
subsistence agriculture,https://en.wikipedia.org/wiki/Subsistence_agriculture
Comoros,https://en.wikipedia.org/wiki/Comoros
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
per capita income,https://en.wikipedia.org/wiki/Per_capita_income
lava,https://en.wikipedia.org/wiki/Lava
inhabitants,https://en.wikipedia.org/wiki/Demographics_of_the_Comoros
agriculture,https://en.wikipedia.org/wiki/Agriculture
fishing,https://en.wikipedia.org/wiki/Fishing
Agriculture,https://en.wikipedia.org/wiki/Agriculture
fishing,https://en.wikipedia.org/wiki/Fishing
hunting,https://en.wikipedia.org/wiki/Hunting
rice,https://en.wikipedia.org/wiki/Rice
remittances,https://en.wikipedia.org/wiki/Remittances
rice,https://en.wikipedia.org/wiki/Rice
ylang-ylang,https://en.wikipedia.org/wiki/Ylang-ylang
Comorian franc,https://en.wikipedia.org/wiki/Comorian_franc
Madagascar,https://en.wikipedia.org/wiki/Madagascar
Moroni,"https://en.wikipedia.org/wiki/Moroni,_Comoros"
Nzwani,https://en.wikipedia.org/wiki/Nzwani
man-hour,https://en.wikipedia.org/wiki/Man-hour
Agriculture,https://en.wikipedia.org/wiki/Agriculture
vanilla,https://en.wikipedia.org/wiki/Vanilla
cloves,https://en.wikipedia.org/wiki/Cloves
perfume,https://en.wikipedia.org/wiki/Perfume
copra,https://en.wikipedia.org/wiki/Copra
ylang-ylang,https://en.wikipedia.org/wiki/Ylang-ylang
Madagascar,https://en.wikipedia.org/wiki/Madagascar
coconuts,https://en.wikipedia.org/wiki/Coconut
bananas,https://en.wikipedia.org/wiki/Banana
cassava,https://en.wikipedia.org/wiki/Cassava
ylang-ylang,https://en.wikipedia.org/wiki/Ylang-ylang
tuna,https://en.wikipedia.org/wiki/Tuna
Grande Comore,https://en.wikipedia.org/wiki/Grande_Comore
Roundwood,https://en.wikipedia.org/wiki/Roundwood
Informal sector,https://en.wikipedia.org/wiki/Informal_sector
sawmills,https://en.wikipedia.org/wiki/Sawmill
carpentry,https://en.wikipedia.org/wiki/Carpentry
yogurt,https://en.wikipedia.org/wiki/Yogurt
petroleum,https://en.wikipedia.org/wiki/Petroleum
Ahmed Abdallah,https://en.wikipedia.org/wiki/Ahmed_Abdallah
Anjouan,https://en.wikipedia.org/wiki/Anjouan
Moroni,"https://en.wikipedia.org/wiki/Moroni,_Comoros"
Grande Comore,https://en.wikipedia.org/wiki/Grande_Comore
cyclone,https://en.wikipedia.org/wiki/Cyclone
Mombasa,https://en.wikipedia.org/wiki/Mombasa
Réunion,https://en.wikipedia.org/wiki/R%C3%A9union
Central Bank of the Comoros,https://en.wikipedia.org/wiki/Central_Bank_of_the_Comoros
Banque pour l'Industrie et le Commerce des Comores,https://en.wikipedia.org/wiki/Banque_pour_l%27Industrie_et_le_Commerce_des_Comores
Banque Nationale de Paris,https://en.wikipedia.org/wiki/Banque_Nationale_de_Paris
European Investment Bank,https://en.wikipedia.org/wiki/European_Investment_Bank
Caisse Centrale de Coopération Économique,https://en.wikipedia.org/wiki/Caisse_Centrale_de_Coop%C3%A9ration_%C3%89conomique
France,https://en.wikipedia.org/wiki/France
United States,https://en.wikipedia.org/wiki/United_States
Germany,https://en.wikipedia.org/wiki/Germany
Belgium,https://en.wikipedia.org/wiki/Belgium
Japan,https://en.wikipedia.org/wiki/Japan
Prince Said Ibrahim International Airport,https://en.wikipedia.org/wiki/Prince_Said_Ibrahim_International_Airport
Comorian francs,https://en.wikipedia.org/wiki/Comorian_franc
List of companies based in the Comoros,https://en.wikipedia.org/wiki/List_of_companies_based_in_the_Comoros
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
