text,url
developed,https://en.wikipedia.org/wiki/IMF_advanced_economy_list
export-oriented,https://en.wikipedia.org/wiki/Trading_nation
social market economy,https://en.wikipedia.org/wiki/Social_market_economy
high-income,https://en.wikipedia.org/wiki/World_Bank_high-income_economy
welfare state,https://en.wikipedia.org/wiki/Welfare_state
European social model,https://en.wikipedia.org/wiki/European_social_model
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
European Single Market,https://en.wikipedia.org/wiki/European_Single_Market
European Union,https://en.wikipedia.org/wiki/European_Union
economy of the European Union,https://en.wikipedia.org/wiki/Economy_of_the_European_Union
Czech koruna,https://en.wikipedia.org/wiki/Czech_koruna
euro,https://en.wikipedia.org/wiki/Euro
Organisation for Economic Co-operation and Development,https://en.wikipedia.org/wiki/Organisation_for_Economic_Co-operation_and_Development
inequality-adjusted human development,https://en.wikipedia.org/wiki/List_of_countries_by_inequality-adjusted_HDI
World Bank Human Capital Index,https://en.wikipedia.org/wiki/World_Bank_Human_Capital_Index
United States,https://en.wikipedia.org/wiki/United_States
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
France,https://en.wikipedia.org/wiki/France
The Guardian,https://en.wikipedia.org/wiki/The_Guardian
Die Welt,https://en.wikipedia.org/wiki/Die_Welt
high tech,https://en.wikipedia.org/wiki/High_tech
electronics,https://en.wikipedia.org/wiki/Electronics
aerospace industry,https://en.wikipedia.org/wiki/Aerospace_engineering
chemicals,https://en.wikipedia.org/wiki/Chemistry
advanced materials,https://en.wikipedia.org/wiki/Materials_science
pharmaceuticals,https://en.wikipedia.org/wiki/Pharmaceutical
research and development,https://en.wikipedia.org/wiki/Research_and_development
ICT,https://en.wikipedia.org/wiki/Information_and_communications_technology
software development,https://en.wikipedia.org/wiki/Software_development
nanotechnology,https://en.wikipedia.org/wiki/Nanotechnology
life sciences,https://en.wikipedia.org/wiki/List_of_life_sciences
cereals,https://en.wikipedia.org/wiki/Cereal
vegetable oils,https://en.wikipedia.org/wiki/Vegetable_oil
hops,https://en.wikipedia.org/wiki/Hops
GDP per capita,https://en.wikipedia.org/wiki/GDP_per_capita
purchasing power parity,https://en.wikipedia.org/wiki/Purchasing_power_parity
Czech crowns,https://en.wikipedia.org/wiki/Czech_koruna
nominal value,https://en.wikipedia.org/wiki/Real_versus_nominal_value_(economics)
unemployment,https://en.wikipedia.org/wiki/Unemployment
Denmark,https://en.wikipedia.org/wiki/Denmark
Index of Economic Freedom,https://en.wikipedia.org/wiki/Index_of_Economic_Freedom
Chile,https://en.wikipedia.org/wiki/Chile
Global Innovation Index,https://en.wikipedia.org/wiki/Global_Innovation_Index
UAE,https://en.wikipedia.org/wiki/UAE
Global Competitiveness Report,https://en.wikipedia.org/wiki/Global_Competitiveness_Report
ease of doing business index,https://en.wikipedia.org/wiki/Ease_of_doing_business_index
Global Enabling Trade Report,https://en.wikipedia.org/wiki/Global_Enabling_Trade_Report
Canada,https://en.wikipedia.org/wiki/Canada
Germany,https://en.wikipedia.org/wiki/Germany
members of the EU,https://en.wikipedia.org/wiki/Member_state_of_the_European_Union
Economic Complexity Index,https://en.wikipedia.org/wiki/Economic_Complexity_Index
German Confederation,https://en.wikipedia.org/wiki/German_Confederation
Lands of the Bohemian Crown,https://en.wikipedia.org/wiki/Lands_of_the_Bohemian_Crown
Austrian Empire,https://en.wikipedia.org/wiki/Austrian_Empire
Austria-Hungary,https://en.wikipedia.org/wiki/Austria-Hungary
Czechoslovakia,https://en.wikipedia.org/wiki/Czechoslovakia
Czechoslovak crown,https://en.wikipedia.org/wiki/Czechoslovak_koruna
First Republic,https://en.wikipedia.org/wiki/First_Czechoslovak_Republic
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Transcarpathia,https://en.wikipedia.org/wiki/Transcarpathia
Austrian First Republic,https://en.wikipedia.org/wiki/First_Austrian_Republic
Munich Agreement,https://en.wikipedia.org/wiki/Munich_Agreement
Nazi Germany,https://en.wikipedia.org/wiki/Nazi_Germany
World War II,https://en.wikipedia.org/wiki/World_War_II
Communist Coup d'état,https://en.wikipedia.org/wiki/1948_Czechoslovak_coup_d%27%C3%A9tat
socialist countries,https://en.wikipedia.org/wiki/Socialist_state
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
Stalin,https://en.wikipedia.org/wiki/Stalinism
Czechoslovakia,https://en.wikipedia.org/wiki/Czechoslovakia
Eastern Bloc,https://en.wikipedia.org/wiki/Eastern_Bloc
