text,url
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
First,https://en.wikipedia.org/wiki/First_Congo_War
Second Congo Wars,https://en.wikipedia.org/wiki/Second_Congo_War
mineral,https://en.wikipedia.org/wiki/Mineral
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
South Africa,https://en.wikipedia.org/wiki/South_Africa
GDP per capita,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)_per_capita
HDI,https://en.wikipedia.org/wiki/Human_Development_Index
most fragile,https://en.wikipedia.org/wiki/List_of_countries_by_Fragile_States_Index
United Nations,https://en.wikipedia.org/wiki/United_Nations
least developed countries,https://en.wikipedia.org/wiki/Least_Developed_Countries
First,https://en.wikipedia.org/wiki/First_Congo_War
Second Congo Wars,https://en.wikipedia.org/wiki/Second_Congo_War
famine,https://en.wikipedia.org/wiki/Famine
Malnutrition,https://en.wikipedia.org/wiki/Malnutrition
Agriculture,https://en.wikipedia.org/wiki/Agriculture
economy,https://en.wikipedia.org/wiki/Economy
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
mineral extraction,https://en.wikipedia.org/wiki/Mining_industry_of_the_Democratic_Republic_of_the_Congo
Africa,https://en.wikipedia.org/wiki/Africa
informal sector,https://en.wikipedia.org/wiki/Informal_sector
GDP,https://en.wikipedia.org/wiki/GDP
Transparency International,https://en.wikipedia.org/wiki/Transparency_International
Corruption Perception Index,https://en.wikipedia.org/wiki/Corruption_Perception_Index
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Chad,https://en.wikipedia.org/wiki/Chad
Sudan,https://en.wikipedia.org/wiki/Sudan
President,https://en.wikipedia.org/wiki/President_of_the_Democratic_Republic_of_the_Congo
Joseph Kabila,https://en.wikipedia.org/wiki/Joseph_Kabila
DRC,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Belgium,https://en.wikipedia.org/wiki/Belgium
British,https://en.wikipedia.org/wiki/United_Kingdom
Belgium,https://en.wikipedia.org/wiki/Belgium
Congo Crisis,https://en.wikipedia.org/wiki/Congo_Crisis
Mobutu,https://en.wikipedia.org/wiki/Mobutu
IMF,https://en.wikipedia.org/wiki/IMF
World Bank,https://en.wikipedia.org/wiki/World_Bank
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
COVID,https://en.wikipedia.org/wiki/COVID-19
extractives sector,https://en.wikipedia.org/wiki/Extractive_sector
China,https://en.wikipedia.org/wiki/China
special economic zones,https://en.wikipedia.org/wiki/Special_economic_zone
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
revenue,https://en.wikipedia.org/wiki/Revenue
looting,https://en.wikipedia.org/wiki/Looting
monopolies,https://en.wikipedia.org/wiki/Monopoly
Human rights,https://en.wikipedia.org/wiki/Human_rights
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Development Association,https://en.wikipedia.org/wiki/The_World_Bank_in_the_Democratic_Republic_of_the_Congo
Dan Gertler,https://en.wikipedia.org/wiki/Dan_Gertler
coffee,https://en.wikipedia.org/wiki/Coffee
palm oil,https://en.wikipedia.org/wiki/Palm_oil
rubber,https://en.wikipedia.org/wiki/Rubber
cotton,https://en.wikipedia.org/wiki/Cotton
sugar,https://en.wikipedia.org/wiki/Sugar
tea,https://en.wikipedia.org/wiki/Tea
cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
cassava,https://en.wikipedia.org/wiki/Cassava
plantains,https://en.wikipedia.org/wiki/Plantain_(cooking)
maize,https://en.wikipedia.org/wiki/Maize
groundnuts,https://en.wikipedia.org/wiki/Bambara_groundnut
rice,https://en.wikipedia.org/wiki/Rice
cassava,https://en.wikipedia.org/wiki/Cassava
plantain,https://en.wikipedia.org/wiki/Cooking_banana
maize,https://en.wikipedia.org/wiki/Maize
palm oil,https://en.wikipedia.org/wiki/Palm_oil
rice,https://en.wikipedia.org/wiki/Rice
sweet potato,https://en.wikipedia.org/wiki/Sweet_potato
banana,https://en.wikipedia.org/wiki/Banana
peanut,https://en.wikipedia.org/wiki/Peanut
mango,https://en.wikipedia.org/wiki/Mango
mangosteen,https://en.wikipedia.org/wiki/Mangosteen
guava,https://en.wikipedia.org/wiki/Guava
papaya,https://en.wikipedia.org/wiki/Papaya
beans,https://en.wikipedia.org/wiki/Beans
pineapple,https://en.wikipedia.org/wiki/Pineapple
orange,https://en.wikipedia.org/wiki/Orange_(fruit)
potato,https://en.wikipedia.org/wiki/Potato
coffee,https://en.wikipedia.org/wiki/Coffee
cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
natural rubber,https://en.wikipedia.org/wiki/Natural_rubber
tea,https://en.wikipedia.org/wiki/Tea
hydro-electric,https://en.wikipedia.org/wiki/Hydro-electric
United Nations,https://en.wikipedia.org/wiki/United_Nations
central Africa,https://en.wikipedia.org/wiki/Central_Africa
timber,https://en.wikipedia.org/wiki/Timber
Mayumbe area,https://en.wikipedia.org/wiki/Mayumbe_area
Bas-Congo,https://en.wikipedia.org/wiki/Bas-Congo
Ubangi River,https://en.wikipedia.org/wiki/Ubangi_River
mineral extraction,https://en.wikipedia.org/wiki/Mining_industry_of_the_Democratic_Republic_of_the_Congo
Africa,https://en.wikipedia.org/wiki/Africa
GDP,https://en.wikipedia.org/wiki/GDP
informal sector,https://en.wikipedia.org/wiki/Informal_sector
global battery supply chain,https://en.wikipedia.org/wiki/Electric_vehicle_supply_chain
cobalt,https://en.wikipedia.org/wiki/Cobalt
copper,https://en.wikipedia.org/wiki/Copper
diamonds,https://en.wikipedia.org/wiki/Diamond
coltan,https://en.wikipedia.org/wiki/Coltan
tantalum,https://en.wikipedia.org/wiki/Tantalum
tin,https://en.wikipedia.org/wiki/Tin
conflict minerals,https://en.wikipedia.org/wiki/Conflict_minerals
coltan,https://en.wikipedia.org/wiki/Coltan
cassiterite,https://en.wikipedia.org/wiki/Cassiterite
tantalum,https://en.wikipedia.org/wiki/Tantalum
tin,https://en.wikipedia.org/wiki/Tin
Katanga Mining Limited,https://en.wikipedia.org/wiki/Katanga_Mining
Lubumbashi,https://en.wikipedia.org/wiki/Lubumbashi
Kindu,https://en.wikipedia.org/wiki/Kindu
Congo Basin,https://en.wikipedia.org/wiki/Congo_Basin
navigable,https://en.wikipedia.org/wiki/Navigable
waterways,https://en.wikipedia.org/wiki/Waterway
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
List of companies based in the Democratic Republic of the Congo,https://en.wikipedia.org/wiki/List_of_companies_based_in_the_Democratic_Republic_of_the_Congo
Mining industry of the Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Mining_industry_of_the_Democratic_Republic_of_the_Congo
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
CIA,https://en.wikipedia.org/wiki/CIA
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
ILO,https://en.wikipedia.org/wiki/ILO
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
public domain,https://en.wikipedia.org/wiki/Public_domain
The World Factbook,https://en.wikipedia.org/wiki/The_World_Factbook
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
PMC,https://en.wikipedia.org/wiki/PMC_(identifier)
PMID,https://en.wikipedia.org/wiki/PMID_(identifier)
public domain,https://en.wikipedia.org/wiki/Public_domain
U.S. Department of State,https://en.wikipedia.org/wiki/U.S._Department_of_State
David van Reybrouck,https://en.wikipedia.org/wiki/David_van_Reybrouck
HarperCollins,https://en.wikipedia.org/wiki/HarperCollins
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Georges Nzongola-Ntalaja,https://en.wikipedia.org/wiki/Georges_Nzongola-Ntalaja
Africa World Press,https://en.wikipedia.org/wiki/Africa_World_Press
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
The New York Times,https://en.wikipedia.org/wiki/The_New_York_Times
Time,https://en.wikipedia.org/wiki/Time_(magazine)
World Bank,https://en.wikipedia.org/wiki/World_Bank
