text,url
World Bank,https://en.wikipedia.org/wiki/World_Bank
140th,https://en.wikipedia.org/wiki/List_of_countries_by_Human_Development_Index
Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
unemployed,https://en.wikipedia.org/wiki/Unemployed
$,https://en.wikipedia.org/wiki/US$
illiterate,https://en.wikipedia.org/wiki/List_of_countries_by_literacy_rate
Timor-Leste,https://en.wikipedia.org/wiki/Timor-Leste
urbanisation rate,https://en.wikipedia.org/wiki/Urbanization_by_country
sandalwood,https://en.wikipedia.org/wiki/Sandalwood
Timor Gap Treaty,https://en.wikipedia.org/wiki/Timor_Gap_Treaty
maritime boundary,https://en.wikipedia.org/wiki/Maritime_boundary
Woodside Petroleum,https://en.wikipedia.org/wiki/Woodside_Petroleum
ConocoPhillips,https://en.wikipedia.org/wiki/ConocoPhillips
Indonesian troops,https://en.wikipedia.org/wiki/Military_of_Indonesia
United Nations,https://en.wikipedia.org/wiki/United_Nations
Doing Business,https://en.wikipedia.org/wiki/Ease_of_doing_business_index
patent laws,https://en.wikipedia.org/wiki/Patent
Myanmar,https://en.wikipedia.org/wiki/Myanmar
Timor Leste–Indonesia–Australia Growth Triangle,https://en.wikipedia.org/wiki/Timor_Leste%E2%80%93Indonesia%E2%80%93Australia_Growth_Triangle
gross margins,https://en.wikipedia.org/wiki/Gross_margin
mung beans,https://en.wikipedia.org/wiki/Mung_beans
Coffee,https://en.wikipedia.org/wiki/Coffee
rice,https://en.wikipedia.org/wiki/Rice
maize,https://en.wikipedia.org/wiki/Maize
coconuts,https://en.wikipedia.org/wiki/Coconut
cassava,https://en.wikipedia.org/wiki/Cassava
soybeans,https://en.wikipedia.org/wiki/Soybean
bananas,https://en.wikipedia.org/wiki/Banana
mango,https://en.wikipedia.org/wiki/Mango
sweet potatoes,https://en.wikipedia.org/wiki/Sweet_potato
petroleum,https://en.wikipedia.org/wiki/Petroleum
coffee,https://en.wikipedia.org/wiki/Coffee
cinnamon,https://en.wikipedia.org/wiki/Cinnamon
Timor Gap Treaty,https://en.wikipedia.org/wiki/Timor_Gap_Treaty
Timor Sea Treaty,https://en.wikipedia.org/wiki/Timor_Sea_Treaty
A$,https://en.wikipedia.org/wiki/Australian_Dollar
Permanent Court of Arbitration,https://en.wikipedia.org/wiki/Permanent_Court_of_Arbitration
Australian Secret Intelligence Service,https://en.wikipedia.org/wiki/Australian_Secret_Intelligence_Service
bugging,https://en.wikipedia.org/wiki/Covert_listening_device
Timor-Leste Petroleum Fund,https://en.wikipedia.org/wiki/Timor-Leste_Petroleum_Fund
international airport in Dili,https://en.wikipedia.org/wiki/Presidente_Nicolau_Lobato_International_Airport
Betano Power Station,https://en.wikipedia.org/wiki/Betano_Power_Station
Hera Diesel Power Plant,https://en.wikipedia.org/wiki/Hera_Diesel_Power_Plant
Australia's claim on East Timorese oil,https://en.wikipedia.org/wiki/Australia%E2%80%93Timor-Leste_relations
petroleum,https://en.wikipedia.org/wiki/Petroleum
natural gas,https://en.wikipedia.org/wiki/Natural_gas
Timor Sea Treaty,https://en.wikipedia.org/wiki/Timor_Sea_Treaty
United Nations Convention on the Law of the Sea,https://en.wikipedia.org/wiki/United_Nations_Convention_on_the_Law_of_the_Sea
