text,url
Tunisia,https://en.wikipedia.org/wiki/Tunisia
liberalized,https://en.wikipedia.org/wiki/Liberalization
economic growth,https://en.wikipedia.org/wiki/Economic_growth
oil,https://en.wikipedia.org/wiki/Petroleum
phosphates,https://en.wikipedia.org/wiki/Phosphate
agri-food products,https://en.wikipedia.org/wiki/Agriculture
car parts manufacturing,https://en.wikipedia.org/wiki/Car_parts_manufacturing
tourism,https://en.wikipedia.org/wiki/Tourism_in_Tunisia
Global Competitiveness Report,https://en.wikipedia.org/wiki/Global_Competitiveness_Report
Sfax,https://en.wikipedia.org/wiki/Sfax
foreign debt,https://en.wikipedia.org/wiki/Foreign_debt
foreign exchange,https://en.wikipedia.org/wiki/Foreign_exchange_market
structural adjustment,https://en.wikipedia.org/wiki/Structural_adjustment
tariffs,https://en.wikipedia.org/wiki/Tariff
market economy,https://en.wikipedia.org/wiki/Market_economy
international financial institutions,https://en.wikipedia.org/wiki/International_financial_institutions
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
World Bank,https://en.wikipedia.org/wiki/World_Bank
General Agreement on Tariffs and Trade,https://en.wikipedia.org/wiki/General_Agreement_on_Tariffs_and_Trade
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
European Union,https://en.wikipedia.org/wiki/European_Union
trade barriers,https://en.wikipedia.org/wiki/Trade_barrier
state-owned enterprises,https://en.wikipedia.org/wiki/State-owned_enterprise
privatization,https://en.wikipedia.org/wiki/Privatization
Unemployment,https://en.wikipedia.org/wiki/Unemployment
Arab Spring,https://en.wikipedia.org/wiki/Arab_Spring
national dialogue platform,https://en.wikipedia.org/wiki/Tunisian_National_Dialogue_Quartet
Bardo National Museum attack,https://en.wikipedia.org/wiki/Bardo_National_Museum_attack
tourism,https://en.wikipedia.org/wiki/Tourism_in_Tunisia
ragpickers,https://en.wikipedia.org/wiki/Rag-and-bone_man
social protection,https://en.wikipedia.org/wiki/Social_protection
Recycling,https://en.wikipedia.org/wiki/Recycling
balance-of-payments,https://en.wikipedia.org/wiki/Balance-of-payments
Standard & Poor's,https://en.wikipedia.org/wiki/Standard_%26_Poor%27s
World Economic Forum,https://en.wikipedia.org/wiki/World_Economic_Forum
South Africa,https://en.wikipedia.org/wiki/South_Africa
US dollar,https://en.wikipedia.org/wiki/United_States_dollar
sovereign bond,https://en.wikipedia.org/wiki/Sovereign_bond
Bourse de Tunis,https://en.wikipedia.org/wiki/Bourse_de_Tunis
joint venture,https://en.wikipedia.org/wiki/Joint_venture
currency,https://en.wikipedia.org/wiki/Currency
market capitalisation,https://en.wikipedia.org/wiki/Market_capitalisation
World Bank,https://en.wikipedia.org/wiki/World_Bank
Houcine Dimassi,https://en.wikipedia.org/wiki/Houcine_Dimassi
olives,https://en.wikipedia.org/wiki/Olive
grain,https://en.wikipedia.org/wiki/Cereal
tomatoes,https://en.wikipedia.org/wiki/Tomato
citrus fruit,https://en.wikipedia.org/wiki/Citrus_fruit
sugar beets,https://en.wikipedia.org/wiki/Sugar_beet
dates,https://en.wikipedia.org/wiki/Date_(fruit)
almonds,https://en.wikipedia.org/wiki/Almond
wheat,https://en.wikipedia.org/wiki/Wheat
tomato,https://en.wikipedia.org/wiki/Tomato
olives,https://en.wikipedia.org/wiki/Olives
barley,https://en.wikipedia.org/wiki/Barley
watermelon,https://en.wikipedia.org/wiki/Watermelon
onion,https://en.wikipedia.org/wiki/Onion
pepper,https://en.wikipedia.org/wiki/Bell_pepper
potato,https://en.wikipedia.org/wiki/Potato
date,https://en.wikipedia.org/wiki/Date_palm
carrots,https://en.wikipedia.org/wiki/Carrots
grape,https://en.wikipedia.org/wiki/Grape
orange,https://en.wikipedia.org/wiki/Orange_(fruit)
peach,https://en.wikipedia.org/wiki/Peach
apple,https://en.wikipedia.org/wiki/Apple
grapefruit,https://en.wikipedia.org/wiki/Grapefruit
melon,https://en.wikipedia.org/wiki/Melon
almond,https://en.wikipedia.org/wiki/Almond
sugar beet,https://en.wikipedia.org/wiki/Sugar_beet
Economy of Africa,https://en.wikipedia.org/wiki/Economy_of_Africa
List of companies based in Tunisia,https://en.wikipedia.org/wiki/List_of_companies_based_in_Tunisia
Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
Western Asia,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Western_Asia
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
World Bank,https://en.wikipedia.org/wiki/World_Bank
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
Le Monde,https://en.wikipedia.org/wiki/Le_Monde
Timothy Geithner,https://en.wikipedia.org/wiki/Timothy_Geithner
