text,url
Tuvalu,https://en.wikipedia.org/wiki/Tuvalu
Tuvalu,https://en.wikipedia.org/wiki/Tuvalu
Polynesian,https://en.wikipedia.org/wiki/Polynesia
island nation,https://en.wikipedia.org/wiki/Island_nation
Pacific Ocean,https://en.wikipedia.org/wiki/Pacific_Ocean
Hawaii,https://en.wikipedia.org/wiki/Hawaii
Australia,https://en.wikipedia.org/wiki/Australia
Tuvalu,https://en.wikipedia.org/wiki/Tuvalu
economies of scale,https://en.wikipedia.org/wiki/Economies_of_scale
South Pacific Tuna Treaty,https://en.wikipedia.org/wiki/South_Pacific_Tuna_Treaty
Asian Development Bank,https://en.wikipedia.org/wiki/Asian_Development_Bank
Tuvalu Trust Fund,https://en.wikipedia.org/wiki/Tuvalu_Trust_Fund
.tv,https://en.wikipedia.org/wiki/.tv
Top Level Domain,https://en.wikipedia.org/wiki/Top_Level_Domain
Gross Domestic Product,https://en.wikipedia.org/wiki/Gross_Domestic_Product
Gross National Income,https://en.wikipedia.org/wiki/Gross_National_Income
SIDS,https://en.wikipedia.org/wiki/Small_Island_Developing_States
Kiribati,https://en.wikipedia.org/wiki/Kiribati
Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands
remittances,https://en.wikipedia.org/wiki/Remittances
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Australia,https://en.wikipedia.org/wiki/Australia
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
COVID-19,https://en.wikipedia.org/wiki/COVID-19
Agriculture in Tuvalu,https://en.wikipedia.org/wiki/Agriculture_in_Tuvalu
pulaka,https://en.wikipedia.org/wiki/Pulaka
copra,https://en.wikipedia.org/wiki/Copra
Funafuti,https://en.wikipedia.org/wiki/Funafuti
formal employment,https://en.wikipedia.org/wiki/Informal_sector
Funafuti,https://en.wikipedia.org/wiki/Funafuti
Australia,https://en.wikipedia.org/wiki/Australia
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
tuna,https://en.wikipedia.org/wiki/Tuna
reef,https://en.wikipedia.org/wiki/Reef
atolls,https://en.wikipedia.org/wiki/Atoll
Kiribati,https://en.wikipedia.org/wiki/Kiribati
Nauru,https://en.wikipedia.org/wiki/Nauru
Samoa,https://en.wikipedia.org/wiki/Samoa
Fiji,https://en.wikipedia.org/wiki/Fiji
sovereign state,https://en.wikipedia.org/wiki/Sovereign_state
Nauru,https://en.wikipedia.org/wiki/Nauru
Kiribati,https://en.wikipedia.org/wiki/Kiribati
Tuvalu,https://en.wikipedia.org/wiki/Tuvalu
Nauru,https://en.wikipedia.org/wiki/Nauru
Kiribati,https://en.wikipedia.org/wiki/Kiribati
atolls,https://en.wikipedia.org/wiki/Atoll
Pacific Ocean,https://en.wikipedia.org/wiki/Pacific_Ocean
Exclusive Economic Zone,https://en.wikipedia.org/wiki/Exclusive_Economic_Zone
NGO,https://en.wikipedia.org/wiki/Non-governmental_organization
Exclusive Economic Zone,https://en.wikipedia.org/wiki/Exclusive_Economic_Zone
Skipjack Tuna,https://en.wikipedia.org/wiki/Skipjack_Tuna
