text,url
Kampala,https://en.wikipedia.org/wiki/Kampala
Uganda,https://en.wikipedia.org/wiki/Uganda
informal economy,https://en.wikipedia.org/wiki/Informal_economy
national energy needs,https://en.wikipedia.org/wiki/Energy_in_Uganda
Amin,https://en.wikipedia.org/wiki/Idi_Amin
civil strife,https://en.wikipedia.org/wiki/Civil_war
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
economic transformation,https://en.wikipedia.org/wiki/Economic_transformation
manufacturing,https://en.wikipedia.org/wiki/Manufacturing
Museveni,https://en.wikipedia.org/wiki/Yoweri_Museveni
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
General Agreement on Tariffs and Trade,https://en.wikipedia.org/wiki/General_Agreement_on_Tariffs_and_Trade
Uganda,https://en.wikipedia.org/wiki/Uganda
Bank of Uganda,https://en.wikipedia.org/wiki/Bank_of_Uganda
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
hides,https://en.wikipedia.org/wiki/Hide_(skin)
vanilla,https://en.wikipedia.org/wiki/Vanilla
vegetables,https://en.wikipedia.org/wiki/Vegetable
fruits,https://en.wikipedia.org/wiki/Fruit
cut flowers,https://en.wikipedia.org/wiki/Cut_flowers
fish,https://en.wikipedia.org/wiki/Fish
cotton,https://en.wikipedia.org/wiki/Cotton
tea,https://en.wikipedia.org/wiki/Tea
tobacco,https://en.wikipedia.org/wiki/Tobacco
sugarcane,https://en.wikipedia.org/wiki/Sugarcane
plantain,https://en.wikipedia.org/wiki/Cooking_banana
maize,https://en.wikipedia.org/wiki/Maize
cassava,https://en.wikipedia.org/wiki/Cassava
sweet potato,https://en.wikipedia.org/wiki/Sweet_potato
bean,https://en.wikipedia.org/wiki/Bean
vegetable,https://en.wikipedia.org/wiki/Vegetable
banana,https://en.wikipedia.org/wiki/Banana
onion,https://en.wikipedia.org/wiki/Onion
sorghum,https://en.wikipedia.org/wiki/Sorghum
rice,https://en.wikipedia.org/wiki/Rice
sunflower seed,https://en.wikipedia.org/wiki/Sunflower_seed
peanut,https://en.wikipedia.org/wiki/Peanut
coffee,https://en.wikipedia.org/wiki/Coffee
millet,https://en.wikipedia.org/wiki/Millet
cotton,https://en.wikipedia.org/wiki/Cotton
tea,https://en.wikipedia.org/wiki/Tea
tobacco,https://en.wikipedia.org/wiki/Tobacco
cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
Kampala,https://en.wikipedia.org/wiki/Kampala
Mombasa,https://en.wikipedia.org/wiki/Mombasa
Indian Ocean,https://en.wikipedia.org/wiki/Indian_Ocean
Tororo,https://en.wikipedia.org/wiki/Tororo
Jinja,"https://en.wikipedia.org/wiki/Jinja,_Uganda"
Kasese,https://en.wikipedia.org/wiki/Kasese
Mbale,https://en.wikipedia.org/wiki/Mbale
Soroti,https://en.wikipedia.org/wiki/Soroti
Gulu,https://en.wikipedia.org/wiki/Gulu
Pakwach,https://en.wikipedia.org/wiki/Pakwach
Rwanda,https://en.wikipedia.org/wiki/Rwanda
Burundi,https://en.wikipedia.org/wiki/Burundi
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
South Sudan,https://en.wikipedia.org/wiki/South_Sudan
international airport,https://en.wikipedia.org/wiki/Entebbe_International_Airport
Entebbe,https://en.wikipedia.org/wiki/Entebbe
Lake Victoria,https://en.wikipedia.org/wiki/Lake_Victoria
government of Uganda,https://en.wikipedia.org/wiki/Government_of_Uganda
Kabalega International Airport,https://en.wikipedia.org/wiki/Hoima_International_Airport
Western Region,"https://en.wikipedia.org/wiki/Western_Region,_Uganda"
an oil refinery,https://en.wikipedia.org/wiki/Uganda_Oil_Refinery
gold,https://en.wikipedia.org/wiki/Gold
tungsten,https://en.wikipedia.org/wiki/Tungsten
tin,https://en.wikipedia.org/wiki/Tin
beryl,https://en.wikipedia.org/wiki/Beryl
tantalite,https://en.wikipedia.org/wiki/Tantalite
clay,https://en.wikipedia.org/wiki/Clay
granite,https://en.wikipedia.org/wiki/Granite
latitude,https://en.wikipedia.org/wiki/Latitude
mica,https://en.wikipedia.org/wiki/Mica
copper,https://en.wikipedia.org/wiki/Copper
limestone,https://en.wikipedia.org/wiki/Limestone
iron,https://en.wikipedia.org/wiki/Iron
Tullow Oil,https://en.wikipedia.org/wiki/Tullow_Oil
United States,https://en.wikipedia.org/wiki/United_States
Global Financial Integrity,https://en.wikipedia.org/wiki/Global_Financial_Integrity
Kampala Associated Advocates,https://en.wikipedia.org/wiki/Kampala_Associated_Advocates
Albertine Graben Refinery Consortium,https://en.wikipedia.org/wiki/Albertine_Graben_Refinery_Consortium
General Electric,https://en.wikipedia.org/wiki/GE_Energy
Uganda Oil Refinery,https://en.wikipedia.org/wiki/Uganda_Oil_Refinery
Maddison Historical Statistics Project,https://en.wikipedia.org/wiki/Maddison_Project
Maddison Historical Statistics Project,https://en.wikipedia.org/wiki/Maddison_Project
IMF,https://en.wikipedia.org/wiki/International_Monetary_Fund
"Ministry of Finance, Planning and Economic Development (Uganda)","https://en.wikipedia.org/wiki/Ministry_of_Finance,_Planning_and_Economic_Development_(Uganda)"
Uganda Investment Authority,https://en.wikipedia.org/wiki/Uganda_Investment_Authority
Uganda Securities Exchange,https://en.wikipedia.org/wiki/Uganda_Securities_Exchange
Banking in Uganda,https://en.wikipedia.org/wiki/Banking_in_Uganda
Tourism in Uganda,https://en.wikipedia.org/wiki/Tourism_in_Uganda
Poverty in Uganda,https://en.wikipedia.org/wiki/Poverty_in_Uganda
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
Economy of East Africa,https://en.wikipedia.org/wiki/Economy_of_East_Africa
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
Reuters.com,https://en.wikipedia.org/wiki/Reuters.com
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
UNCTAD,https://en.wikipedia.org/wiki/UNCTAD
The Independent (Uganda),https://en.wikipedia.org/wiki/The_Independent_(Uganda)
KPMG Kenya,https://en.wikipedia.org/wiki/KPMG
World Bank Group,https://en.wikipedia.org/wiki/World_Bank_Group
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
hdl,https://en.wikipedia.org/wiki/Hdl_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
The Financial Times,https://en.wikipedia.org/wiki/The_Financial_Times
ReliefWeb,https://en.wikipedia.org/wiki/ReliefWeb
World Bank Group,https://en.wikipedia.org/wiki/World_Bank_Group
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
Bank of Uganda,https://en.wikipedia.org/wiki/Bank_of_Uganda
Bank of Uganda,https://en.wikipedia.org/wiki/Bank_of_Uganda
Daily Monitor,https://en.wikipedia.org/wiki/Daily_Monitor
Uganda Ministry of Works and Transport,https://en.wikipedia.org/wiki/Ministry_of_Works_and_Transport_(Uganda)
Northern Corridor Transit and Transportation Coordination Authority,https://en.wikipedia.org/wiki/Northern_Corridor
Daily Monitor,https://en.wikipedia.org/wiki/Daily_Monitor
Daily Monitor,https://en.wikipedia.org/wiki/Daily_Monitor
Raidió Teilifís Éireann,https://en.wikipedia.org/wiki/RT%C3%89
The Daily Telegraph,https://en.wikipedia.org/wiki/The_Daily_Telegraph
The EastAfrican,https://en.wikipedia.org/wiki/The_EastAfrican
Daily Monitor,https://en.wikipedia.org/wiki/Daily_Monitor
Our World in Data,https://en.wikipedia.org/wiki/Our_World_in_Data
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Journal of African Business,https://en.wikipedia.org/wiki/Journal_of_African_Business
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
