text,url
petroleum,https://en.wikipedia.org/wiki/Petroleum
Hugo Chávez,https://en.wikipedia.org/wiki/Hugo_Ch%C3%A1vez
Nicolás Maduro,https://en.wikipedia.org/wiki/Nicol%C3%A1s_Maduro
hyperinflation,https://en.wikipedia.org/wiki/Hyperinflation_in_Venezuela
25th largest producer of oil in the world,https://en.wikipedia.org/wiki/List_of_countries_by_oil_production
OPEC,https://en.wikipedia.org/wiki/OPEC
Venezuela,https://en.wikipedia.org/wiki/Venezuela
steel,https://en.wikipedia.org/wiki/Steel
aluminum,https://en.wikipedia.org/wiki/Aluminum
cement,https://en.wikipedia.org/wiki/Cement
electronics,https://en.wikipedia.org/wiki/Electronics
automobiles,https://en.wikipedia.org/wiki/Automobiles
beverages,https://en.wikipedia.org/wiki/Beverage
foodstuffs,https://en.wikipedia.org/wiki/Foodstuff
Agriculture in Venezuela,https://en.wikipedia.org/wiki/Agriculture_in_Venezuela
rice,https://en.wikipedia.org/wiki/Rice
corn,https://en.wikipedia.org/wiki/Maize
fish,https://en.wikipedia.org/wiki/Fish
fruit,https://en.wikipedia.org/wiki/Fruit
coffee,https://en.wikipedia.org/wiki/Coffee
pork,https://en.wikipedia.org/wiki/Pork
beef,https://en.wikipedia.org/wiki/Beef
agriculture,https://en.wikipedia.org/wiki/Agriculture
rentier state,https://en.wikipedia.org/wiki/Rentier_state
immigrants,https://en.wikipedia.org/wiki/Immigrant
standard of living,https://en.wikipedia.org/wiki/Standard_of_living
oil prices collapsed during the 1980s,https://en.wikipedia.org/wiki/1980s_oil_glut
Bolivarian Revolution,https://en.wikipedia.org/wiki/Bolivarian_Revolution
PDVSA,https://en.wikipedia.org/wiki/PDVSA
capital flight,https://en.wikipedia.org/wiki/Capital_flight
Price controls,https://en.wikipedia.org/wiki/Price_controls
expropriation,https://en.wikipedia.org/wiki/Expropriation
shortages in Venezuela,https://en.wikipedia.org/wiki/Shortages_in_Venezuela
economic collapse,https://en.wikipedia.org/wiki/Economic_collapse
2013,https://en.wikipedia.org/wiki/2013%E2%80%93present_economic_crisis_in_Venezuela
Venezuela spiraling into hyperinflation,https://en.wikipedia.org/wiki/Hyperinflation_in_Venezuela
credit rating agencies,https://en.wikipedia.org/wiki/Credit_rating_agency
default,https://en.wikipedia.org/wiki/Default_(finance)
Standard & Poor's,https://en.wikipedia.org/wiki/Standard_%26_Poor%27s
United States,https://en.wikipedia.org/wiki/United_States
Central Bank of Venezuela,https://en.wikipedia.org/wiki/Central_Bank_of_Venezuela
International Energy Agency,https://en.wikipedia.org/wiki/International_Energy_Agency
VOA,https://en.wikipedia.org/wiki/VOA
AFP,https://en.wikipedia.org/wiki/Agence_France-Presse
United States dollar,https://en.wikipedia.org/wiki/United_States_dollar
Chevron,https://en.wikipedia.org/wiki/Chevron_Corporation
Maracaibo,https://en.wikipedia.org/wiki/Maracaibo
Juan Vicente Gómez,https://en.wikipedia.org/wiki/Juan_Vicente_G%C3%B3mez
oil companies,https://en.wikipedia.org/wiki/Oil_companies
Standard Oil of New Jersey,https://en.wikipedia.org/wiki/Standard_Oil_of_New_Jersey
Juan Pablo Pérez Alfonso,https://en.wikipedia.org/wiki/Juan_Pablo_P%C3%A9rez_Alfonso
immigrants,https://en.wikipedia.org/wiki/Immigrant
