text,url
Zambia,https://en.wikipedia.org/wiki/Zambia
developing country,https://en.wikipedia.org/wiki/Developing_country
Africa,https://en.wikipedia.org/wiki/Economy_of_Africa
Lusaka,https://en.wikipedia.org/wiki/Lusaka
Southern African Development Community,https://en.wikipedia.org/wiki/Southern_African_Development_Community
Sub-Saharan Africa,https://en.wikipedia.org/wiki/Sub-Saharan_Africa
urbanized,https://en.wikipedia.org/wiki/Urbanization
AGOA,https://en.wikipedia.org/wiki/AGOA
United States,https://en.wikipedia.org/wiki/United_States
British South Africa Company,https://en.wikipedia.org/wiki/British_South_Africa_Company
Cecil Rhodes,https://en.wikipedia.org/wiki/Cecil_Rhodes
Anglo American Corporation,https://en.wikipedia.org/wiki/Anglo_American_Corporation
Kenneth Kaunda,https://en.wikipedia.org/wiki/Kenneth_Kaunda
Zambia Consolidated Copper Mines Ltd,https://en.wikipedia.org/wiki/Zambia_Consolidated_Copper_Mines_Ltd
Frederick Chiluba,https://en.wikipedia.org/wiki/Frederick_Chiluba
party,https://en.wikipedia.org/wiki/Political_party
privatised,https://en.wikipedia.org/wiki/Privatization
interest rates,https://en.wikipedia.org/wiki/Interest_rate
free market,https://en.wikipedia.org/wiki/Free_market
Mwanawasa,https://en.wikipedia.org/wiki/Levy_Mwanawasa
economic reform,https://en.wikipedia.org/wiki/Economic_reform
public sector,https://en.wikipedia.org/wiki/Public_sector
formal employment,https://en.wikipedia.org/wiki/Informal_sector
social sector,https://en.wikipedia.org/wiki/Social_sector
mining,https://en.wikipedia.org/wiki/Mining
company,https://en.wikipedia.org/wiki/Types_of_companies
Zambian Consolidated Copper Mines,https://en.wikipedia.org/wiki/ZCCM_Investments_Holdings
foreign exchange,https://en.wikipedia.org/wiki/Foreign_exchange_market
exchange rate,https://en.wikipedia.org/wiki/Exchange_rate
HIPC,https://en.wikipedia.org/wiki/Heavily_Indebted_Poor_Countries
Levy Mwanawasa,https://en.wikipedia.org/wiki/Levy_Mwanawasa
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
anti-corruption,https://en.wikipedia.org/wiki/Anti-corruption
Zambia,https://en.wikipedia.org/wiki/Zambia
foreign investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
inflation,https://en.wikipedia.org/wiki/Inflation
Livingstone,"https://en.wikipedia.org/wiki/Livingstone,_Zambia"
Victoria Falls,"https://en.wikipedia.org/wiki/Victoria_Falls,_Zambia"
African Union,https://en.wikipedia.org/wiki/African_Union
Rupiah Banda,https://en.wikipedia.org/wiki/Rupiah_Banda
Great Recession,https://en.wikipedia.org/wiki/Great_Recession
social democrat,https://en.wikipedia.org/wiki/Social_democrat
Michael Sata,https://en.wikipedia.org/wiki/Michael_Sata
Patriotic Front,https://en.wikipedia.org/wiki/Patriotic_Front_(Zambia)
Edgar Lungu,https://en.wikipedia.org/wiki/Edgar_Lungu
Kafue Gorge Lower Power Station,https://en.wikipedia.org/wiki/Kafue_Gorge_Lower_Power_Station
Levy Mwanawasa Stadium,https://en.wikipedia.org/wiki/Levy_Mwanawasa_Stadium
National Heroes Stadium,https://en.wikipedia.org/wiki/National_Heroes_Stadium
