text,url
gold standard,https://en.wikipedia.org/wiki/Gold_standard
Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe
informal economy,https://en.wikipedia.org/wiki/Informal_economy
PPP,https://en.wikipedia.org/wiki/Purchasing_power_parity
chromite,https://en.wikipedia.org/wiki/Chromite
asbestos,https://en.wikipedia.org/wiki/Asbestos
copper,https://en.wikipedia.org/wiki/Copper
nickel,https://en.wikipedia.org/wiki/Nickel
gold,https://en.wikipedia.org/wiki/Gold
platinum,https://en.wikipedia.org/wiki/Platinum
iron ore,https://en.wikipedia.org/wiki/Iron_ore
per capita,https://en.wikipedia.org/wiki/Per_capita_income
indigenisation programme,https://en.wikipedia.org/wiki/Indigenisation_and_Economic_Empowerment_Act
World Bank Group,https://en.wikipedia.org/wiki/World_Bank
Cairo-Cape Town Highway,https://en.wikipedia.org/wiki/Cairo-Cape_Town_Highway
Beira-Lobito Highway,https://en.wikipedia.org/wiki/Beira-Lobito_Highway
National Railways of Zimbabwe,https://en.wikipedia.org/wiki/National_Railways_of_Zimbabwe
Zimbabwe Electricity Supply Authority,https://en.wikipedia.org/wiki/Zimbabwe_Electricity_Supply_Authority
Kariba Dam,https://en.wikipedia.org/wiki/Kariba_Dam
Zambia,https://en.wikipedia.org/wiki/Zambia
Hwange Thermal Power Station,https://en.wikipedia.org/wiki/Hwange_Thermal_Power_Station
Hwange,https://en.wikipedia.org/wiki/Hwange
rolling blackouts,https://en.wikipedia.org/wiki/Rolling_blackout
Democratic Republic of Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_Congo
Mozambique,https://en.wikipedia.org/wiki/Mozambique
Zambia,https://en.wikipedia.org/wiki/Zambia
generators,https://en.wikipedia.org/wiki/Engine-generator
TelOne,https://en.wikipedia.org/wiki/TelOne_Zimbabwe
Telecel,https://en.wikipedia.org/wiki/Telecel_Zimbabwe
Net*One,https://en.wikipedia.org/wiki/Net*One
Econet,https://en.wikipedia.org/wiki/Econet_Global
Agriculture,https://en.wikipedia.org/wiki/Agriculture
cotton,https://en.wikipedia.org/wiki/Cotton
tobacco,https://en.wikipedia.org/wiki/Tobacco
coffee,https://en.wikipedia.org/wiki/Coffee
peanuts,https://en.wikipedia.org/wiki/Peanut
maize,https://en.wikipedia.org/wiki/Maize
wheat,https://en.wikipedia.org/wiki/Wheat
land redistribution program,https://en.wikipedia.org/wiki/Land_reform_in_Zimbabwe
Production of tobacco,https://en.wikipedia.org/wiki/Tobacco_in_Zimbabwe
British American Tobacco,https://en.wikipedia.org/wiki/British_American_Tobacco
China Tobacco,https://en.wikipedia.org/wiki/China_Tobacco
Jesse Jackson,https://en.wikipedia.org/wiki/Jesse_Jackson
sugarcane,https://en.wikipedia.org/wiki/Sugarcane
maize,https://en.wikipedia.org/wiki/Maize
cassava,https://en.wikipedia.org/wiki/Cassava
vegetable,https://en.wikipedia.org/wiki/Vegetable
tobacco,https://en.wikipedia.org/wiki/Tobacco
banana,https://en.wikipedia.org/wiki/Banana
orange,https://en.wikipedia.org/wiki/Orange_(fruit)
soy,https://en.wikipedia.org/wiki/Soy
sorghum,https://en.wikipedia.org/wiki/Sorghum
potato,https://en.wikipedia.org/wiki/Potato
barley,https://en.wikipedia.org/wiki/Barley
peanut,https://en.wikipedia.org/wiki/Peanut
cotton,https://en.wikipedia.org/wiki/Cotton
raw materials,https://en.wikipedia.org/wiki/Raw_materials
platinum,https://en.wikipedia.org/wiki/Platinum
coal,https://en.wikipedia.org/wiki/Coal
iron ore,https://en.wikipedia.org/wiki/Iron_ore
gold,https://en.wikipedia.org/wiki/Gold
diamonds,https://en.wikipedia.org/wiki/Diamonds
Copper,https://en.wikipedia.org/wiki/Copper
chromite,https://en.wikipedia.org/wiki/Chromite
nickel,https://en.wikipedia.org/wiki/Nickel
Marange diamond fields,https://en.wikipedia.org/wiki/Marange_diamond_fields
