ID,Country,Population,Area (sq km),Density,Economy Wikipedia Link
1,afghanistan,"4,384,411",652860,67,https://en.wikipedia.org/wiki/Economy_of_Afghanistan
2,Albania,"2,771,508","27,400",101,https://en.wikipedia.org/wiki/Economy_of_Albania
3,Algeria,"47,435,312","2,381,740",20,https://en.wikipedia.org/wiki/Economy_of_Algeria
4,Andorra,"82,904",470,176,https://en.wikipedia.org/wiki/Economy_of_Andorra
5,Angola,"39,040,039","1,246,700",31,https://en.wikipedia.org/wiki/Economy_of_Angola
6,Antigua and Barbuda,"94,209",440,214,https://en.wikipedia.org/wiki/Economy_of_Antigua_and_Barbuda
7,Argentina,"45,851,378","2,736,690",17,https://en.wikipedia.org/wiki/Economy_of_Argentina
8,Armenia,"2,952,365","28,470",104,https://en.wikipedia.org/wiki/Economy_of_Armenia
9,Australia,"26,974,026","7,682,300",4,https://en.wikipedia.org/wiki/Economy_of_Australia
10,Austria,"9,113,574","82,409",111,https://en.wikipedia.org/wiki/Economy_of_Austria
11,Azerbaijan,"10,397,713","82,658",126,https://en.wikipedia.org/wiki/Economy_of_Azerbaijan
12,Bahamas,"403,033","10,010",40,https://en.wikipedia.org/wiki/Economy_of_the_Bahamas
13,Bahrain,"1,643,332",760,"2,162",https://en.wikipedia.org/wiki/Economy_of_Bahrain
14,Bangladesh,"175,686,899","130,170","1,350",https://en.wikipedia.org/wiki/Economy_of_Bangladesh
15,Barbados,"282,623",430,657,https://en.wikipedia.org/wiki/Economy_of_Barbados
16,Belarus,"8,997,603","202,910",44,https://en.wikipedia.org/wiki/Economy_of_Belarus
17,Belgium,"11,758,603","30,280",388,https://en.wikipedia.org/wiki/Economy_of_Belgium
18,Belize,"422,924","22,810",19,https://en.wikipedia.org/wiki/Economy_of_Belize
19,Benin,"14,814,460","112,760",131,https://en.wikipedia.org/wiki/Economy_of_Benin
20,Bhutan,"796,682","38,117",21,https://en.wikipedia.org/wiki/Economy_of_Bhutan
21,Bolivia,"12,581,843","1,083,300",12,https://en.wikipedia.org/wiki/Economy_of_Bolivia
22,Bosnia and Herzegovina,"3,140,095","51,000",62,https://en.wikipedia.org/wiki/Economy_of_Bosnia_and_Herzegovina
23,Botswana,"2,562,122","566,730",5,https://en.wikipedia.org/wiki/Economy_of_Botswana
24,Brazil,"212,812,405","8,358,140",25,https://en.wikipedia.org/wiki/Economy_of_Brazil
25,Brunei,"466,330","5,270",88,https://en.wikipedia.org/wiki/Economy_of_Brunei
26,Bulgaria,"6,714,560","108,560",62,https://en.wikipedia.org/wiki/Economy_of_Bulgaria
27,Burkina Faso,"24,074,580","273,600",88,https://en.wikipedia.org/wiki/Economy_of_Burkina_Faso
28,Burundi,"14,390,003","25,680",560,https://en.wikipedia.org/wiki/Economy_of_Burundi
29,Cabo Verde,"527,326","4,030",131,https://en.wikipedia.org/wiki/Economy_of_Cape_Verde
30,Cambodia,"17,847,982","176,520",101,https://en.wikipedia.org/wiki/Economy_of_Cambodia
31,Cameroon,"29,879,337","472,710",63,https://en.wikipedia.org/wiki/Economy_of_Cameroon
32,Canada,"40,126,723","9,093,510",4,https://en.wikipedia.org/wiki/Economy_of_Canada
33,Central African Republic,"5,513,282","622,980",9,https://en.wikipedia.org/wiki/Economy_of_the_Central_African_Republic
34,Chad,"21,003,705","1,259,200",17,https://en.wikipedia.org/wiki/Economy_of_Chad
35,Chile,"19,859,921","743,532",27,https://en.wikipedia.org/wiki/Economy_of_Chile
36,China,"1,416,096,094","9,388,211",151,https://en.wikipedia.org/wiki/Economy_of_China
37,Colombia,"53,425,635","1,109,500",48,https://en.wikipedia.org/wiki/Economy_of_Colombia
38,Comoros,"882,847","1,861",474,https://en.wikipedia.org/wiki/Economy_of_the_Comoros
39,Congo (Congo-Brazzaville),"6,484,437","341,500",19,https://en.wikipedia.org/wiki/Economy_of_the_Democratic_Republic_of_the_Congo
40,Costa Rica,"5,152,950","51,060",101,https://en.wikipedia.org/wiki/Economy_of_Costa_Rica
41,Côte d'Ivoire,"32,711,547","318,000",103,https://en.wikipedia.org/wiki/Economy_of_Ivory_Coast
42,Croatia,"3,848,160","55,960",69,https://en.wikipedia.org/wiki/Economy_of_Croatia
